class,scorer,epoch,AUROC
slider,teacher-maha,2,90.779
slider,teacher-maha,4,90.779
slider,teacher-maha,6,90.779
slider,teacher-maha,8,90.779
slider,teacher-maha,10,90.779
slider,teacher-maha,12,90.779
slider,teacher-maha,14,90.779
slider,teacher-maha,16,90.779
slider,teacher-maha,18,90.779
slider,teacher-maha,20,90.779
slider,teacher-maha,22,90.779
slider,teacher-maha,24,90.779
slider,teacher-maha,26,90.779
slider,teacher-maha,28,90.779
slider,teacher-maha,30,90.779
slider,teacher-maha,32,90.779
slider,teacher-maha,34,90.779
slider,teacher-maha,36,90.779
slider,teacher-maha,38,90.779
slider,teacher-maha,40,90.779
slider,teacher-maha,42,90.779
slider,teacher-maha,44,90.779
slider,teacher-maha,46,90.779
slider,teacher-maha,48,90.779
slider,teacher-maha,50,90.779
slider,teacher-knn,2,88.251
slider,teacher-knn,4,88.251
slider,teacher-knn,6,88.251
slider,teacher-knn,8,88.251
slider,teacher-knn,10,88.251
slider,teacher-knn,12,88.251
slider,teacher-knn,14,88.251
slider,teacher-knn,16,88.251
slider,teacher-knn,18,88.251
slider,teacher-knn,20,88.251
slider,teacher-knn,22,88.251
slider,teacher-knn,24,88.251
slider,teacher-knn,26,88.251
slider,teacher-knn,28,88.251
slider,teacher-knn,30,88.251
slider,teacher-knn,32,88.251
slider,teacher-knn,34,88.251
slider,teacher-knn,36,88.251
slider,teacher-knn,38,88.251
slider,teacher-knn,40,88.251
slider,teacher-knn,42,88.251
slider,teacher-knn,44,88.251
slider,teacher-knn,46,88.251
slider,teacher-knn,48,88.251
slider,teacher-knn,50,88.251
valve,cos-residual,2,54.237
valve,cos-residual,4,56.355
valve,cos-residual,6,60.35
valve,cos-residual,8,59.124
valve,cos-residual,10,61.491
valve,cos-residual,12,57.388
valve,cos-residual,14,58.031
valve,cos-residual,16,56.137
valve,cos-residual,18,55.935
valve,cos-residual,20,57.538
valve,cos-residual,22,57.469
valve,cos-residual,24,56.789
valve,cos-residual,26,56.335
valve,cos-residual,28,56.057
valve,cos-residual,30,55.522
valve,cos-residual,32,55.708
valve,cos-residual,34,54.799
valve,cos-residual,36,54.936
valve,cos-residual,38,54.144
valve,cos-residual,40,54.23
valve,cos-residual,42,54.506
valve,cos-residual,44,54.528
valve,cos-residual,46,54.353
valve,cos-residual,48,55.162
valve,cos-residual,50,54.759
valve,student-maha,2,72.599
valve,student-maha,4,70.604
valve,student-maha,6,71.31
valve,student-maha,8,70.53
valve,student-maha,10,71.018
valve,student-maha,12,71.054
valve,student-maha,14,70.61
valve,student-maha,16,71.835
valve,student-maha,18,71.684
valve,student-maha,20,71.371
valve,student-maha,22,71.908
valve,student-maha,24,71.367
valve,student-maha,26,71.445
valve,student-maha,28,72.065
valve,student-maha,30,70.887
valve,student-maha,32,71.622
valve,student-maha,34,71.183
valve,student-maha,36,71.785
valve,student-maha,38,71.428
valve,student-maha,40,71.951
valve,student-maha,42,71.441
valve,student-maha,44,71.451
valve,student-maha,46,71.482
valve,student-maha,48,71.436
valve,student-maha,50,71.364
valve,student-knn,2,72.936
valve,student-knn,4,73.927
valve,student-knn,6,72.796
valve,student-knn,8,72.239
valve,student-knn,10,72.098
valve,student-knn,12,70.859
valve,student-knn,14,71.913
valve,student-knn,16,71.886
valve,student-knn,18,71.405
valve,student-knn,20,70.939
valve,student-knn,22,70.311
valve,student-knn,24,70.489
valve,student-knn,26,70.599
valve,student-knn,28,70.847
valve,student-knn,30,70.514
valve,student-knn,32,70.485
valve,student-knn,34,70.176
valve,student-knn,36,70.787
valve,student-knn,38,70.994
valve,student-knn,40,71.241
valve,student-knn,42,70.735
valve,student-knn,44,70.783
valve,student-knn,46,70.667
valve,student-knn,48,70.662
valve,student-knn,50,70.865
valve,teacher-maha,2,70.001
valve,teacher-maha,4,70.001
valve,teacher-maha,6,70.001
valve,teacher-maha,8,70.001
valve,teacher-maha,10,70.001
valve,teacher-maha,12,70.001
valve,teacher-maha,14,70.001
valve,teacher-maha,16,70.001
valve,teacher-maha,18,70.001
valve,teacher-maha,20,70.001
valve,teacher-maha,22,70.001
valve,teacher-maha,24,70.001
valve,teacher-maha,26,70.001
valve,teacher-maha,28,70.001
valve,teacher-maha,30,70.001
valve,teacher-maha,32,70.001
valve,teacher-maha,34,70.001
valve,teacher-maha,36,70.001
valve,teacher-maha,38,70.001
valve,teacher-maha,40,70.001
valve,teacher-maha,42,70.001
valve,teacher-maha,44,70.001
valve,teacher-maha,46,70.001
valve,teacher-maha,48,70.001
valve,teacher-maha,50,70.001
valve,teacher-knn,2,69.467
valve,teacher-knn,4,69.467
valve,teacher-knn,6,69.467
valve,teacher-knn,8,69.467
valve,teacher-knn,10,69.467
valve,teacher-knn,12,69.467
valve,teacher-knn,14,69.467
valve,teacher-knn,16,69.467
valve,teacher-knn,18,69.467
valve,teacher-knn,20,69.467
valve,teacher-knn,22,69.467
valve,teacher-knn,24,69.467
valve,teacher-knn,26,69.467
valve,teacher-knn,28,69.467
valve,teacher-knn,30,69.467
valve,teacher-knn,32,69.467
valve,teacher-knn,34,69.467
valve,teacher-knn,36,69.467
valve,teacher-knn,38,69.467
valve,teacher-knn,40,69.467
valve,teacher-knn,42,69.467
valve,teacher-knn,44,69.467
valve,teacher-knn,46,69.467
valve,teacher-knn,48,69.467
valve,teacher-knn,50,69.467
ToyCar,cos-residual,2,56.717
ToyCar,cos-residual,4,62.995
ToyCar,cos-residual,6,60.05
ToyCar,cos-residual,8,60.658
ToyCar,cos-residual,10,61.608
ToyCar,cos-residual,12,61.003
ToyCar,cos-residual,14,62.272
ToyCar,cos-residual,16,61.0
ToyCar,cos-residual,18,60.654
ToyCar,cos-residual,20,59.904
ToyCar,cos-residual,22,61.311
ToyCar,cos-residual,24,59.017
ToyCar,cos-residual,26,58.388
ToyCar,cos-residual,28,56.734
ToyCar,cos-residual,30,57.157
ToyCar,cos-residual,32,57.977
ToyCar,cos-residual,34,56.45
ToyCar,cos-residual,36,56.179
ToyCar,cos-residual,38,57.035
ToyCar,cos-residual,40,56.152
ToyCar,cos-residual,42,55.435
ToyCar,cos-residual,44,55.636
ToyCar,cos-residual,46,55.655
ToyCar,cos-residual,48,55.116
ToyCar,cos-residual,50,55.407
ToyCar,student-maha,2,65.229
ToyCar,student-maha,4,68.962
ToyCar,student-maha,6,68.457
ToyCar,student-maha,8,67.88
ToyCar,student-maha,10,69.321
ToyCar,student-maha,12,69.461
ToyCar,student-maha,14,69.865
ToyCar,student-maha,16,71.539
ToyCar,student-maha,18,70.944
ToyCar,student-maha,20,71.989
ToyCar,student-maha,22,72.773
ToyCar,student-maha,24,72.377
ToyCar,student-maha,26,73.153
ToyCar,student-maha,28,74.406
ToyCar,student-maha,30,74.272
ToyCar,student-maha,32,74.008
ToyCar,student-maha,34,74.061
ToyCar,student-maha,36,74.342
ToyCar,student-maha,38,73.723
ToyCar,student-maha,40,75.371
ToyCar,student-maha,42,75.137
ToyCar,student-maha,44,75.31
ToyCar,student-maha,46,75.205
ToyCar,student-maha,48,74.954
ToyCar,student-maha,50,74.911
ToyCar,student-knn,2,62.585
ToyCar,student-knn,4,65.856
ToyCar,student-knn,6,62.721
ToyCar,student-knn,8,62.479
ToyCar,student-knn,10,63.779
ToyCar,student-knn,12,64.577
ToyCar,student-knn,14,65.253
ToyCar,student-knn,16,65.804
ToyCar,student-knn,18,66.758
ToyCar,student-knn,20,67.402
ToyCar,student-knn,22,67.631
ToyCar,student-knn,24,67.772
ToyCar,student-knn,26,68.338
ToyCar,student-knn,28,68.462
ToyCar,student-knn,30,69.069
ToyCar,student-knn,32,67.889
ToyCar,student-knn,34,68.603
