readout,best_epoch,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
neg_cos,12,73.73,84.59,87.49,92.70,86.77,70.83,82.68
logit_nll,27,72.20,77.12,85.16,78.84,80.96,53.47,74.62
maha_embed,21,79.67,87.67,95.01,95.66,88.51,70.72,86.21
