epoch,train_loss,train_acc,skipped
1,5.070690,60.5994,0
2,1.309686,88.5879,0
3,0.842004,92.7233,0
4,0.765050,93.0911,0
5,0.580794,94.5773,0
6,0.569286,94.8059,0
7,0.410555,95.8398,0
8,0.541468,94.9103,0
9,0.474339,95.7503,0
10,0.285343,97.1271,0
11,0.382251,96.3467,0
12,0.450607,95.8000,0
13,0.299611,97.1917,0
14,0.281309,97.3359,0
15,0.278410,97.2812,0
16,0.358341,96.5704,0
17,0.226732,97.9472,0
18,0.228739,97.8080,0
19,0.309609,96.8289,0
20,0.215300,97.8428,0
21,0.173277,98.2852,0
22,0.167323,98.2504,0
23,0.201463,98.0864,0
24,0.235448,97.5893,0
25,0.175510,98.0267,0
26,0.220424,97.8180,0
27,0.179791,98.2106,0
28,0.209290,97.9373,0
29,0.273823,97.3856,0
30,0.131552,98.8071,0
31,0.147827,98.5238,0
32,0.201539,98.0764,0
33,0.146714,98.6331,0
34,0.154869,98.2753,0
35,0.156735,98.5138,0
36,0.152181,98.3399,0
37,0.146932,98.5288,0
38,0.140976,98.3896,0
39,0.153083,98.5834,0
40,0.118098,98.7673,0
41,0.160866,98.3498,0
42,0.167852,98.4343,0
43,0.059635,99.3091,0
44,0.173377,98.2852,0
45,0.164058,98.4343,0
46,0.138205,98.7475,0
47,0.114936,98.7524,0
48,0.174275,98.3896,0
49,0.106992,98.9214,0
50,0.081458,99.1004,0
