epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7047,0.7742,0.8985,0.7347,0.7967,0.5216,0.7384
22,maha_embed,0.7655,0.8630,0.9216,0.8960,0.7990,0.6422,0.8146
23,neg_cos,0.8057,0.7826,0.9350,0.7421,0.8201,0.6019,0.7812
23,logit_nll,0.7220,0.7617,0.8714,0.6481,0.8213,0.5194,0.7240
23,maha_embed,0.7496,0.8634,0.9430,0.9099,0.7663,0.6556,0.8146
24,neg_cos,0.7374,0.8699,0.9358,0.7334,0.7986,0.5572,0.7720
24,logit_nll,0.6811,0.7867,0.8741,0.7289,0.7737,0.5139,0.7264
24,maha_embed,0.7888,0.8744,0.9407,0.8035,0.8286,0.6524,0.8147
25,neg_cos,0.7963,0.7777,0.9507,0.7460,0.8208,0.5608,0.7754
25,logit_nll,0.7307,0.7575,0.8942,0.7089,0.7704,0.5201,0.7303
25,maha_embed,0.7557,0.8945,0.9250,0.9023,0.8296,0.6801,0.8312
26,neg_cos,0.8442,0.7905,0.9047,0.7370,0.7741,0.5419,0.7654
26,logit_nll,0.7462,0.7551,0.9101,0.7625,0.7621,0.5179,0.7423
26,maha_embed,0.7101,0.8455,0.9509,0.8912,0.8037,0.6522,0.8089
27,neg_cos,0.7401,0.8875,0.9009,0.8522,0.8156,0.5562,0.7921
27,logit_nll,0.7414,0.7405,0.8609,0.7015,0.8096,0.5160,0.7283
27,maha_embed,0.7785,0.8756,0.9330,0.9121,0.8420,0.6534,0.8324
28,neg_cos,0.6409,0.8650,0.9099,0.8606,0.8171,0.5816,0.7792
28,logit_nll,0.6692,0.7827,0.8398,0.6996,0.8369,0.5163,0.7241
28,maha_embed,0.7542,0.8591,0.9409,0.9233,0.7866,0.6562,0.8200
29,neg_cos,0.7196,0.7209,0.9315,0.7337,0.8061,0.5499,0.7436
29,logit_nll,0.6746,0.7508,0.8109,0.6903,0.7769,0.5153,0.7031
29,maha_embed,0.8086,0.8417,0.9264,0.8967,0.8311,0.6713,0.8293
30,neg_cos,0.7712,0.8424,0.9098,0.6806,0.7941,0.5238,0.7537
30,logit_nll,0.7224,0.7447,0.9039,0.6842,0.8229,0.5156,0.7323
30,maha_embed,0.8119,0.8273,0.9404,0.8906,0.8384,0.6796,0.8314
31,neg_cos,0.7634,0.8627,0.9112,0.8267,0.7725,0.7077,0.8074
31,logit_nll,0.7522,0.7654,0.8599,0.6938,0.7432,0.5405,0.7258
31,maha_embed,0.7989,0.8726,0.9533,0.9133,0.8399,0.6886,0.8444
32,neg_cos,0.7529,0.8772,0.9357,0.8540,0.7842,0.5545,0.7931
32,logit_nll,0.7279,0.7468,0.8485,0.6915,0.7601,0.5158,0.7151
