# SALVAGED from the run log after metric_curve.csv was overwritten on 2026-08-09. Mean over classes only; no per-class columns, no logit_nll.
epoch,train_loss,train_acc,skipped,neg_cos_mean,maha_embed_mean
1,6.2110,51.98,0,74.02,78.02
2,1.1468,89.39,0,77.73,81.29
3,0.6917,93.91,0,76.47,81.22
4,0.7254,93.07,0,73.79,81.06
5,0.7183,93.38,0,75.97,80.48
6,0.3843,96.51,0,75.82,82.53
7,0.4074,96.29,0,77.14,83.52
8,0.3538,96.72,0,77.00,82.80
9,0.3657,96.53,0,73.27,82.30
10,0.2552,97.52,0,76.55,84.10
11,0.3083,97.36,0,74.39,83.50
12,0.3183,97.15,0,72.53,84.02
13,0.2240,97.96,0,76.15,83.16
14,0.2299,97.77,0,76.83,84.92
15,0.2417,97.73,0,74.98,83.19
16,0.1989,98.10,0,75.46,83.60
17,0.2938,97.35,0,75.59,83.62
18,0.1853,98.31,0,77.93,85.32
19,0.1661,98.29,0,72.60,83.47
20,0.1767,98.32,0,75.55,82.02
21,0.2054,97.91,0,77.90,83.60
22,0.1842,98.22,0,75.98,83.63
23,0.2184,98.21,0,77.57,83.59
24,0.1747,98.24,0,73.62,83.17
25,0.1524,98.77,0,74.29,80.82
26,0.1336,98.65,0,74.81,84.49
27,0.1410,98.81,0,73.22,85.44
28,0.2187,97.92,0,73.35,82.94
29,0.0956,99.17,0,73.97,84.19
30,0.0736,99.20,0,75.78,84.42
31,0.1383,98.54,0,73.20,83.56
32,0.1347,98.61,0,74.37,80.27
33,0.1467,98.65,0,75.37,81.13
34,0.1134,98.79,0,73.39,83.52
35,0.1011,98.98,0,75.07,81.48
36,0.1239,98.87,0,74.37,84.39
37,0.0838,98.95,0,77.74,83.08
38,0.1250,98.86,0,73.97,80.93
39,0.0957,99.11,0,73.80,83.21
40,0.0576,99.44,0,78.29,84.15
41,0.1311,98.71,0,75.74,82.60
42,0.0376,99.50,0,76.14,83.41
43,0.0420,99.49,0,74.51,83.68
44,0.1120,98.71,0,73.65,80.55
45,0.1240,98.79,0,74.94,83.65
46,0.0496,99.36,0,75.13,83.47
47,0.0751,99.20,0,76.42,82.16
48,0.0986,98.99,0,74.46,82.13
49,0.0711,99.35,0,75.98,83.49
50,0.0729,99.36,0,70.70,81.80
