epoch,loss,train_acc
1,10.504942,16.7006
2,5.811992,39.4801
3,4.529868,48.1833
4,3.944770,52.3237
5,3.562579,55.4153
6,3.360436,57.1798
7,3.126657,59.3270
8,3.059280,59.7246
9,2.932892,61.3549
10,2.876002,61.4842
11,2.721055,63.1791
12,2.680027,63.4276
13,2.723846,62.8659
14,2.575022,64.7050
15,2.537942,64.7746
16,2.486734,65.1474
17,2.470195,65.4108
18,2.485368,65.5351
19,2.413219,66.0023
20,2.387941,66.3850
21,2.397806,66.0271
22,2.340010,66.8721
23,2.286747,67.2946
24,2.301778,67.1008
25,2.254908,67.3990
26,2.249809,67.5729
27,2.258673,67.5282
28,2.239563,67.8264
29,2.218600,67.9755
30,2.199307,67.7469
31,2.191217,68.0600
32,2.191656,68.7808
33,2.186286,68.1197
34,2.134144,68.5273
35,2.158297,68.5223
36,2.105055,69.0790
37,2.134012,68.8404
38,2.098748,68.9398
39,2.145612,68.2340
40,2.155022,68.5968
41,2.107510,68.9199
42,2.079399,69.0690
43,2.072927,69.4319
44,2.072671,69.3424
45,2.100984,69.1734
46,2.053322,69.3921
47,2.039715,69.5363
48,2.054379,69.4418
49,2.070766,69.5860
50,2.030211,69.8544
51,2.015980,69.8544
52,2.002403,69.9737
53,2.045130,69.6953
54,2.028045,69.6009
55,1.990551,70.1277
56,2.012408,70.0333
57,1.999394,70.2122
58,1.982064,70.1079
59,1.990981,70.0333
60,1.968176,70.6894
61,1.996401,70.3116
62,1.983229,69.9935
63,1.993760,70.1079
64,1.983690,70.0830
65,1.971924,69.8792
66,1.978276,70.4558
67,2.005935,69.9041
68,1.979353,70.1924
69,1.935659,70.3365
70,1.961444,70.4806
71,1.910439,71.0025
72,1.991592,70.0134
73,1.925810,70.6894
74,1.926007,70.7838
75,1.925112,70.7590
76,1.933434,71.1516
77,1.921476,70.7192
78,1.936944,70.5403
79,1.946406,70.6049
80,1.905340,71.0075
81,1.907394,71.0473
82,1.882224,70.9528
83,1.888277,70.8037
84,1.917248,70.8286
85,1.911927,71.0672
86,1.927549,70.8286
87,1.882912,71.2809
88,1.880393,71.0672
89,1.895490,71.1467
90,1.905390,70.9280
91,1.901738,70.7292
92,1.900201,70.5850
93,1.893057,70.9876
94,1.889377,71.2312
95,1.871759,71.4399
96,1.879548,71.1119
97,1.898597,71.0174
98,1.865724,71.3902
99,1.872134,71.1914
100,1.848606,71.3356
