epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7290,0.7906,0.7581,0.8962,0.8445,0.5311,0.7583
22,maha_embed,0.7388,0.8268,0.9079,0.8313,0.8644,0.6477,0.8028
23,neg_cos,0.8555,0.8763,0.8441,0.9468,0.8368,0.6514,0.8352
23,logit_nll,0.7225,0.7958,0.7687,0.8739,0.8134,0.5373,0.7519
23,maha_embed,0.7392,0.8121,0.8995,0.8221,0.8137,0.6559,0.7904
24,neg_cos,0.8283,0.8700,0.8685,0.9382,0.8504,0.6561,0.8353
24,logit_nll,0.7120,0.7798,0.7824,0.7875,0.8054,0.5436,0.7351
24,maha_embed,0.7472,0.8316,0.9127,0.8730,0.8651,0.6646,0.8157
25,neg_cos,0.8289,0.8930,0.8054,0.9209,0.8139,0.5931,0.8092
25,logit_nll,0.7340,0.7823,0.7521,0.7497,0.8066,0.5540,0.7298
25,maha_embed,0.7759,0.7988,0.9103,0.8728,0.7874,0.6642,0.8016
26,neg_cos,0.7988,0.9214,0.8260,0.8386,0.9268,0.5703,0.8136
26,logit_nll,0.7231,0.7974,0.7639,0.7797,0.8341,0.5207,0.7365
26,maha_embed,0.7729,0.8290,0.9380,0.9109,0.8392,0.6367,0.8211
27,neg_cos,0.8151,0.8770,0.8256,0.9801,0.8689,0.5637,0.8217
27,logit_nll,0.7059,0.7543,0.7477,0.7557,0.8269,0.5160,0.7178
27,maha_embed,0.7394,0.8476,0.9042,0.8769,0.8442,0.6535,0.8110
28,neg_cos,0.8382,0.9292,0.7957,0.9793,0.8749,0.6288,0.8410
28,logit_nll,0.7288,0.7860,0.7616,0.7693,0.8641,0.5248,0.7391
28,maha_embed,0.7248,0.8537,0.9215,0.8663,0.8401,0.6708,0.8129
29,neg_cos,0.7345,0.9125,0.8906,0.8975,0.8817,0.5538,0.8118
29,logit_nll,0.7019,0.8047,0.7593,0.7904,0.7962,0.5222,0.7291
29,maha_embed,0.7647,0.8734,0.9146,0.8627,0.8293,0.6711,0.8193
30,neg_cos,0.8019,0.8815,0.8696,0.8868,0.9081,0.6126,0.8267
30,logit_nll,0.7322,0.7756,0.7656,0.8275,0.8160,0.5297,0.7411
30,maha_embed,0.7585,0.8461,0.9197,0.8508,0.8386,0.6510,0.8108
31,neg_cos,0.7468,0.8930,0.9009,0.9280,0.9405,0.6155,0.8375
31,logit_nll,0.7215,0.7724,0.7744,0.7917,0.8499,0.5198,0.7383
31,maha_embed,0.7306,0.8511,0.9335,0.8608,0.8572,0.6755,0.8181
32,neg_cos,0.8002,0.9098,0.8849,0.8938,0.8882,0.6260,0.8338
32,logit_nll,0.7235,0.7846,0.7816,0.8455,0.8139,0.5206,0.7449
32,maha_embed,0.7506,0.8292,0.9157,0.8628,0.8174,0.6280,0.8006
33,neg_cos,0.8294,0.8743,0.8839,0.9603,0.9355,0.5162,0.8333
33,logit_nll,0.7236,0.7716,0.7760,0.8010,0.8532,0.5170,0.7404
33,maha_embed,0.7580,0.8375,0.9210,0.8721,0.8082,0.6399,0.8061
34,neg_cos,0.7918,0.9053,0.8206,0.9250,0.8946,0.6366,0.8290
34,logit_nll,0.6924,0.7773,0.7709,0.8372,0.8079,0.5261,0.7353
34,maha_embed,0.7242,0.8299,0.9053,0.8495,0.8171,0.6519,0.7963
35,neg_cos,0.7783,0.8860,0.8783,0.9122,0.8351,0.5719,0.8103
35,logit_nll,0.6962,0.7575,0.7713,0.8068,0.7960,0.5108,0.7231
35,maha_embed,0.7252,0.8337,0.9027,0.8268,0.8313,0.6602,0.7967
36,neg_cos,0.8299,0.9026,0.8412,0.9507,0.8697,0.6364,0.8384
36,logit_nll,0.7203,0.7559,0.7690,0.8147,0.7980,0.5480,0.7343
36,maha_embed,0.7219,0.8466,0.9210,0.8738,0.8269,0.6693,0.8099
37,neg_cos,0.8027,0.8660,0.8808,0.9714,0.8808,0.6336,0.8392
37,logit_nll,0.7050,0.7646,0.8320,0.8588,0.8369,0.5449,0.7570
37,maha_embed,0.7129,0.8166,0.9013,0.8406,0.8533,0.6615,0.7977
38,neg_cos,0.7834,0.8840,0.8205,0.9079,0.8891,0.7409,0.8376
38,logit_nll,0.7107,0.7900,0.7578,0.8158,0.8228,0.5492,0.7410
38,maha_embed,0.7706,0.8403,0.8867,0.8336,0.7811,0.6677,0.7967
39,neg_cos,0.8120,0.8452,0.8360,0.9274,0.8781,0.7036,0.8337
39,logit_nll,0.7172,0.7671,0.7786,0.7802,0.8396,0.5505,0.7389
39,maha_embed,0.7613,0.8422,0.8813,0.8433,0.8198,0.6503,0.7997
40,neg_cos,0.7416,0.9361,0.8221,0.9610,0.9219,0.6945,0.8462
40,logit_nll,0.6931,0.8040,0.7598,0.7860,0.8357,0.5560,0.7391
40,maha_embed,0.7069,0.8454,0.9078,0.8787,0.7871,0.6456,0.7953
41,neg_cos,0.8094,0.8541,0.8444,0.9319,0.8708,0.6410,0.8253
41,logit_nll,0.7275,0.7668,0.7500,0.7500,0.8161,0.5369,0.7246
41,maha_embed,0.6790,0.8107,0.9313,0.8077,0.7426,0.6354,0.7678
42,neg_cos,0.8090,0.8466,0.8543,0.8694,0.8700,0.5424,0.7986
42,logit_nll,0.7166,0.7525,0.7614,0.7171,0.8184,0.5212,0.7145
42,maha_embed,0.7415,0.8574,0.9243,0.8354,0.8138,0.6491,0.8036
43,neg_cos,0.7946,0.9301,0.7909,0.8892,0.8991,0.5973,0.8169
43,logit_nll,0.6760,0.8067,0.7595,0.7380,0.8244,0.5251,0.7216
43,maha_embed,0.7593,0.8545,0.8932,0.8372,0.8206,0.6535,0.8031
44,neg_cos,0.7771,0.9253,0.8553,0.9340,0.7894,0.6279,0.8182
44,logit_nll,0.6892,0.7723,0.7429,0.7526,0.8077,0.5350,0.7166
44,maha_embed,0.7704,0.8588,0.9131,0.8104,0.8034,0.6609,0.8028
45,neg_cos,0.7837,0.8895,0.8570,0.9577,0.7961,0.6786,0.8271
45,logit_nll,0.6995,0.7644,0.7561,0.7975,0.8021,0.5437,0.7272
45,maha_embed,0.7196,0.8203,0.9180,0.8503,0.8062,0.6585,0.7955
46,neg_cos,0.8467,0.9242,0.8491,0.9099,0.8520,0.6582,0.8400
46,logit_nll,0.7123,0.8025,0.7655,0.7724,0.8200,0.5535,0.7377
46,maha_embed,0.7265,0.8277,0.9286,0.8575,0.8223,0.6542,0.8028
47,neg_cos,0.7678,0.9111,0.8703,0.9238,0.8764,0.6144,0.8273
47,logit_nll,0.6801,0.7641,0.7785,0.7871,0.8238,0.5232,0.7261
47,maha_embed,0.7498,0.8282,0.9224,0.8514,0.8221,0.6710,0.8075
48,neg_cos,0.7975,0.9352,0.8666,0.8959,0.8634,0.6689,0.8379
48,logit_nll,0.7212,0.7594,0.7619,0.7307,0.8075,0.5789,0.7266
48,maha_embed,0.7599,0.8395,0.9263,0.8436,0.8309,0.6546,0.8091
49,neg_cos,0.7417,0.9270,0.8502,0.9215,0.8829,0.5172,0.8068
49,logit_nll,0.6892,0.7698,0.7523,0.7672,0.8182,0.5102,0.7178
49,maha_embed,0.7646,0.8694,0.9110,0.8545,0.8359,0.6534,0.8148
50,neg_cos,0.8124,0.9289,0.8603,0.9287,0.8838,0.5582,0.8287
50,logit_nll,0.7394,0.8062,0.7648,0.8111,0.8209,0.5072,0.7416
50,maha_embed,0.7732,0.8637,0.9005,0.9026,0.8244,0.6441,0.8181
