epoch,section,n,neg_cos,maha_embed
16,ToyConveyor/id_02,1155,0.5230,0.5798
16,ToyConveyor/id_03,1154,0.6606,0.6589
17,ToyCar/id_01,614,0.7880,0.7949
17,ToyCar/id_02,615,0.7884,0.8961
17,ToyCar/id_03,615,0.9835,0.8119
17,ToyCar/id_04,615,0.9996,0.9299
17,ToyConveyor/id_01,1200,0.7576,0.7308
17,ToyConveyor/id_02,1155,0.5034,0.5708
17,ToyConveyor/id_03,1154,0.5557,0.6558
18,ToyCar/id_01,614,0.7994,0.8239
18,ToyCar/id_02,615,0.8518,0.9116
18,ToyCar/id_03,615,0.9533,0.8066
18,ToyCar/id_04,615,0.9998,0.9414
18,ToyConveyor/id_01,1200,0.7803,0.6987
18,ToyConveyor/id_02,1155,0.4915,0.5785
18,ToyConveyor/id_03,1154,0.4714,0.6847
19,ToyCar/id_01,614,0.7811,0.7610
19,ToyCar/id_02,615,0.8590,0.8562
19,ToyCar/id_03,615,0.9633,0.8217
19,ToyCar/id_04,615,0.9999,0.8866
19,ToyConveyor/id_01,1200,0.8152,0.7183
19,ToyConveyor/id_02,1155,0.5309,0.5672
19,ToyConveyor/id_03,1154,0.5962,0.6663
20,ToyCar/id_01,614,0.8308,0.7690
20,ToyCar/id_02,615,0.8191,0.8800
20,ToyCar/id_03,615,0.9862,0.7658
20,ToyCar/id_04,615,0.9921,0.8848
20,ToyConveyor/id_01,1200,0.8347,0.7081
20,ToyConveyor/id_02,1155,0.5248,0.5612
20,ToyConveyor/id_03,1154,0.6735,0.6824
21,ToyCar/id_01,614,0.7455,0.8069
21,ToyCar/id_02,615,0.8267,0.8791
21,ToyCar/id_03,615,0.9553,0.8295
21,ToyCar/id_04,615,0.9976,0.9214
21,ToyConveyor/id_01,1200,0.8498,0.7244
21,ToyConveyor/id_02,1155,0.5574,0.5655
21,ToyConveyor/id_03,1154,0.7254,0.7211
22,ToyCar/id_01,614,0.7747,0.8025
22,ToyCar/id_02,615,0.8904,0.9046
22,ToyCar/id_03,615,0.9725,0.8232
22,ToyCar/id_04,615,0.9998,0.9275
22,ToyConveyor/id_01,1200,0.8884,0.6908
22,ToyConveyor/id_02,1155,0.5224,0.5571
22,ToyConveyor/id_03,1154,0.7125,0.6923
23,ToyCar/id_01,614,0.7345,0.7585
23,ToyCar/id_02,615,0.8046,0.8683
23,ToyCar/id_03,615,0.9711,0.7467
23,ToyCar/id_04,615,0.9936,0.8860
23,ToyConveyor/id_01,1200,0.8227,0.7039
23,ToyConveyor/id_02,1155,0.5172,0.5778
23,ToyConveyor/id_03,1154,0.5427,0.6815
24,ToyCar/id_01,614,0.7759,0.7886
24,ToyCar/id_02,615,0.6103,0.9019
24,ToyCar/id_03,615,0.9725,0.8422
24,ToyCar/id_04,615,0.9852,0.9351
24,ToyConveyor/id_01,1200,0.8183,0.7229
24,ToyConveyor/id_02,1155,0.4976,0.5800
24,ToyConveyor/id_03,1154,0.6067,0.6846
25,ToyCar/id_01,614,0.6874,0.7404
25,ToyCar/id_02,615,0.7431,0.8223
25,ToyCar/id_03,615,0.9100,0.7455
25,ToyCar/id_04,615,0.9982,0.8519
25,ToyConveyor/id_01,1200,0.6938,0.7211
25,ToyConveyor/id_02,1155,0.5579,0.5822
25,ToyConveyor/id_03,1154,0.6048,0.6831
26,ToyCar/id_01,614,0.7934,0.7914
26,ToyCar/id_02,615,0.8039,0.8762
26,ToyCar/id_03,615,0.9870,0.8047
26,ToyCar/id_04,615,1.0000,0.8865
26,ToyConveyor/id_01,1200,0.6493,0.6868
26,ToyConveyor/id_02,1155,0.5213,0.5600
26,ToyConveyor/id_03,1154,0.5369,0.6614
27,ToyCar/id_01,614,0.8295,0.7998
27,ToyCar/id_02,615,0.8404,0.8904
27,ToyCar/id_03,615,0.9591,0.7675
27,ToyCar/id_04,615,1.0000,0.9181
27,ToyConveyor/id_01,1200,0.5846,0.6923
27,ToyConveyor/id_02,1155,0.5892,0.5806
27,ToyConveyor/id_03,1154,0.5830,0.6829
28,ToyCar/id_01,614,0.7825,0.8007
28,ToyCar/id_02,615,0.9270,0.9035
28,ToyCar/id_03,615,0.9134,0.7570
28,ToyCar/id_04,615,0.9991,0.8926
28,ToyConveyor/id_01,1200,0.7284,0.7295
28,ToyConveyor/id_02,1155,0.5262,0.5779
28,ToyConveyor/id_03,1154,0.6182,0.7010
29,ToyCar/id_01,614,0.7941,0.7637
29,ToyCar/id_02,615,0.8478,0.8757
29,ToyCar/id_03,615,0.8612,0.7651
29,ToyCar/id_04,615,0.9997,0.9060
29,ToyConveyor/id_01,1200,0.5522,0.7311
29,ToyConveyor/id_02,1155,0.4728,0.5843
29,ToyConveyor/id_03,1154,0.6530,0.6863
30,ToyCar/id_01,614,0.7423,0.7761
30,ToyCar/id_02,615,0.8280,0.8897
30,ToyCar/id_03,615,0.9361,0.7812
30,ToyCar/id_04,615,0.9996,0.9026
30,ToyConveyor/id_01,1200,0.7538,0.7203
30,ToyConveyor/id_02,1155,0.4988,0.5670
30,ToyConveyor/id_03,1154,0.4927,0.6628
31,ToyCar/id_01,614,0.8002,0.8159
31,ToyCar/id_02,615,0.9068,0.8953
31,ToyCar/id_03,615,0.9636,0.8264
31,ToyCar/id_04,615,0.9996,0.8925
31,ToyConveyor/id_01,1200,0.7430,0.7353
31,ToyConveyor/id_02,1155,0.5535,0.5875
31,ToyConveyor/id_03,1154,0.6193,0.6942
32,ToyCar/id_01,614,0.7286,0.7689
32,ToyCar/id_02,615,0.7754,0.8395
32,ToyCar/id_03,615,0.9713,0.8030
32,ToyCar/id_04,615,0.9978,0.8580
32,ToyConveyor/id_01,1200,0.8016,0.6725
32,ToyConveyor/id_02,1155,0.5527,0.5540
32,ToyConveyor/id_03,1154,0.5031,0.6581
33,ToyCar/id_01,614,0.7649,0.7665
33,ToyCar/id_02,615,0.8979,0.8741
33,ToyCar/id_03,615,0.9894,0.7707
33,ToyCar/id_04,615,1.0000,0.8147
33,ToyConveyor/id_01,1200,0.5803,0.6968
33,ToyConveyor/id_02,1155,0.5364,0.5578
33,ToyConveyor/id_03,1154,0.4230,0.6559
34,ToyCar/id_01,614,0.7571,0.7743
34,ToyCar/id_02,615,0.8129,0.8737
34,ToyCar/id_03,615,0.9253,0.7480
34,ToyCar/id_04,615,0.9918,0.8713
34,ToyConveyor/id_01,1200,0.7665,0.6873
34,ToyConveyor/id_02,1155,0.4485,0.5611
34,ToyConveyor/id_03,1154,0.7420,0.7065
35,ToyCar/id_01,614,0.7861,0.7637
35,ToyCar/id_02,615,0.8324,0.8861
35,ToyCar/id_03,615,0.9023,0.7817
35,ToyCar/id_04,615,0.9896,0.9040
35,ToyConveyor/id_01,1200,0.6386,0.7273
35,ToyConveyor/id_02,1155,0.5179,0.5812
35,ToyConveyor/id_03,1154,0.5809,0.6649
36,ToyCar/id_01,614,0.7638,0.7549
36,ToyCar/id_02,615,0.8826,0.8744
36,ToyCar/id_03,615,0.9036,0.7881
36,ToyCar/id_04,615,0.9926,0.8936
36,ToyConveyor/id_01,1200,0.8253,0.7590
36,ToyConveyor/id_02,1155,0.5571,0.5835
36,ToyConveyor/id_03,1154,0.5689,0.6621
37,ToyCar/id_01,614,0.7988,0.7779
37,ToyCar/id_02,615,0.7078,0.8722
37,ToyCar/id_03,615,0.9734,0.8693
37,ToyCar/id_04,615,0.9998,0.8967
37,ToyConveyor/id_01,1200,0.8234,0.7686
37,ToyConveyor/id_02,1155,0.5827,0.5654
37,ToyConveyor/id_03,1154,0.6417,0.6398
38,ToyCar/id_01,614,0.7736,0.6807
38,ToyCar/id_02,615,0.6953,0.8142
38,ToyCar/id_03,615,0.9219,0.7921
38,ToyCar/id_04,615,0.9997,0.8354
38,ToyConveyor/id_01,1200,0.8978,0.7390
38,ToyConveyor/id_02,1155,0.5891,0.5712
38,ToyConveyor/id_03,1154,0.6609,0.6829
39,ToyCar/id_01,614,0.6925,0.7394
39,ToyCar/id_02,615,0.8182,0.8745
39,ToyCar/id_03,615,0.9463,0.7910
39,ToyCar/id_04,615,0.9999,0.8716
39,ToyConveyor/id_01,1200,0.8433,0.7465
39,ToyConveyor/id_02,1155,0.5779,0.5510
39,ToyConveyor/id_03,1154,0.6594,0.6520
40,ToyCar/id_01,614,0.7585,0.6758
40,ToyCar/id_02,615,0.8520,0.8296
40,ToyCar/id_03,615,0.9932,0.7643
40,ToyCar/id_04,615,0.9998,0.8768
40,ToyConveyor/id_01,1200,0.8974,0.7255
40,ToyConveyor/id_02,1155,0.5811,0.5401
40,ToyConveyor/id_03,1154,0.5670,0.6619
41,ToyCar/id_01,614,0.7714,0.7219
41,ToyCar/id_02,615,0.8197,0.7847
41,ToyCar/id_03,615,0.9689,0.7151
41,ToyCar/id_04,615,0.9981,0.7487
41,ToyConveyor/id_01,1200,0.7926,0.7139
41,ToyConveyor/id_02,1155,0.5625,0.5557
41,ToyConveyor/id_03,1154,0.6185,0.6253
42,ToyCar/id_01,614,0.7792,0.7630
42,ToyCar/id_02,615,0.9058,0.8548
42,ToyCar/id_03,615,0.9431,0.7805
42,ToyCar/id_04,615,0.9921,0.8613
42,ToyConveyor/id_01,1200,0.5498,0.6989
42,ToyConveyor/id_02,1155,0.5730,0.5700
42,ToyConveyor/id_03,1154,0.4549,0.6706
43,ToyCar/id_01,614,0.8403,0.7817
43,ToyCar/id_02,615,0.8664,0.8761
43,ToyCar/id_03,615,0.9843,0.7866
43,ToyCar/id_04,615,1.0000,0.8381
43,ToyConveyor/id_01,1200,0.7067,0.7109
43,ToyConveyor/id_02,1155,0.5531,0.5695
43,ToyConveyor/id_03,1154,0.4854,0.6730
44,ToyCar/id_01,614,0.8098,0.7507
44,ToyCar/id_02,615,0.7045,0.8557
44,ToyCar/id_03,615,0.8370,0.7557
44,ToyCar/id_04,615,0.9758,0.8466
44,ToyConveyor/id_01,1200,0.7653,0.7505
44,ToyConveyor/id_02,1155,0.5653,0.5478
44,ToyConveyor/id_03,1154,0.5103,0.6790
45,ToyCar/id_01,614,0.7431,0.7733
45,ToyCar/id_02,615,0.7006,0.8572
45,ToyCar/id_03,615,0.8869,0.7811
45,ToyCar/id_04,615,0.9999,0.8140
45,ToyConveyor/id_01,1200,0.8186,0.7372
45,ToyConveyor/id_02,1155,0.5259,0.5632
45,ToyConveyor/id_03,1154,0.6661,0.6705
46,ToyCar/id_01,614,0.7095,0.7605
46,ToyCar/id_02,615,0.8696,0.8745
46,ToyCar/id_03,615,0.9305,0.7804
46,ToyCar/id_04,615,0.9960,0.8720
46,ToyConveyor/id_01,1200,0.8399,0.7461
46,ToyConveyor/id_02,1155,0.5015,0.5663
46,ToyConveyor/id_03,1154,0.6216,0.6457
47,ToyCar/id_01,614,0.6788,0.7419
47,ToyCar/id_02,615,0.8741,0.8901
47,ToyCar/id_03,615,0.9596,0.7814
47,ToyCar/id_04,615,0.9945,0.8658
47,ToyConveyor/id_01,1200,0.7152,0.7456
47,ToyConveyor/id_02,1155,0.5421,0.5699
47,ToyConveyor/id_03,1154,0.7053,0.7032
48,ToyCar/id_01,614,0.7727,0.7790
48,ToyCar/id_02,615,0.7924,0.8658
48,ToyCar/id_03,615,0.8813,0.7934
48,ToyCar/id_04,615,0.9631,0.8844
48,ToyConveyor/id_01,1200,0.8833,0.7233
48,ToyConveyor/id_02,1155,0.5206,0.5882
48,ToyConveyor/id_03,1154,0.6740,0.6576
49,ToyCar/id_01,614,0.7696,0.7643
49,ToyCar/id_02,615,0.8538,0.9089
49,ToyCar/id_03,615,0.9312,0.7512
49,ToyCar/id_04,615,0.9908,0.8998
49,ToyConveyor/id_01,1200,0.4328,0.7518
49,ToyConveyor/id_02,1155,0.4822,0.5323
49,ToyConveyor/id_03,1154,0.6447,0.6670
50,ToyCar/id_01,614,0.7196,0.7908
50,ToyCar/id_02,615,0.8590,0.8687
50,ToyCar/id_03,615,0.9228,0.7841
50,ToyCar/id_04,615,0.9998,0.8502
50,ToyConveyor/id_01,1200,0.6489,0.6964
50,ToyConveyor/id_02,1155,0.5087,0.5702
50,ToyConveyor/id_03,1154,0.5354,0.6633
