dir,n_epochs,readouts,n_nan_class_cells,pooled_test_selected,pooled_test_ep,pooled_test_readout,pooled_test_perclass_readout,pooled_oracle,pooled_final,meanid_test_selected,meanid_test_ep,meanid_test_readout,meanid_test_perclass_readout,meanid_oracle,meanid_final,pooled_global_heldout,pooled_perclass_readout_heldout,pooled_perclass_full_heldout,meanid_global_heldout,meanid_perclass_readout_heldout,meanid_perclass_full_heldout,rung
runs/section_probe/log-Mel_seed0,1,"['maha_concat_raw', 'maha_embed', 'logit_nll', 'neg_cos']",0,79.79306220185745,100,neg_cos,81.89538802422511,81.89538802422511,79.79306220185745,79.91212019894613,100,neg_cos,82.07206319156766,82.07206319156766,79.91212019894613,79.79707539853408,81.80104219937301,81.80104219937301,79.9160755139684,81.99570227995032,81.99570227995032,A
runs/section_probe/log-Mel_seed1,1,"['maha_concat_raw', 'maha_embed', 'logit_nll', 'neg_cos']",0,80.09557740467926,100,neg_cos,82.07763971796538,82.07763971796538,80.09557740467926,80.05642177590629,100,neg_cos,82.1624745416599,82.1624745416599,80.05642177590629,80.09864755851227,82.055369564559,82.055369564559,80.06589285452262,82.14025123534233,82.14025123534233,A
runs/section_probe/log-Mel_seed2,1,"['maha_concat_raw', 'maha_embed', 'logit_nll', 'neg_cos']",0,79.92635211372651,100,neg_cos,81.99465667358594,81.99465667358594,79.92635211372651,79.22843069608874,100,neg_cos,81.74769742397208,81.74769742397208,79.22843069608874,79.92648040918114,81.88694085251697,81.88694085251697,79.23774517951425,81.6875966706171,81.6875966706171,A
runs/section_rungB/log-Mel_rerun_seed1,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,85.96992363450195,11,neg_cos,86.8857944210188,89.57573765062699,82.85149647488878,85.60274178377195,11,neg_cos,85.61947867515771,88.36774894007036,80.22643975582291,85.64711456273261,86.46132934839478,89.07002558343355,85.53899452657836,85.52716433815763,87.6388131016147,B
runs/section_rungB/log-Mel_rerun_seed2,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,86.49678767568425,5,neg_cos,86.9073213835494,89.15288238334976,81.1174543332112,85.5750501143402,5,neg_cos,85.5750501143402,87.78937463617174,80.30832689578315,86.42707653829082,86.8680594704943,88.73608345168637,85.56603183689502,85.49585283948755,87.02583170321455,B
runs/section_rungB/log-Mel_seed0,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,87.50651227840287,11,neg_cos,88.18123137952647,90.43311494317837,82.87221829157487,86.88662976452312,10,neg_cos,87.63358669336206,88.54057722547047,82.26800154234718,87.45095900895829,88.07413501637024,90.01582793152643,86.87909710858825,87.62849903955193,87.78003208025511,B
runs/section_rungC/log-Mel_seed0,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,84.3652555532713,47,maha_embed,84.3652555532713,87.34158515362938,82.26418697700139,83.75035687225822,47,maha_embed,84.28680297848375,86.69934792968945,81.78706336074266,84.01053217322199,84.08155390599073,86.83316713594589,83.39113536311314,83.67602475497338,85.84220056126269,C
runs/section_rungC/log-Mel_seed1,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,84.4439841207043,31,maha_embed,84.76254152763185,87.26533017200016,82.39448695290322,83.40132060224303,47,maha_embed,84.12532717742886,86.37422568620762,81.1360649896601,84.31728433678757,84.74430252494834,86.78936339136001,83.18349675152255,83.79580850726607,85.37917638741195,C
runs/section_rungD/log-Mel_seed0,50,"['recon_spmax', 'recon_spmean', 'neg_cos', 'logit_nll', 'fusion_negcos', 'maha_embed', 'fusion_maha']",0,84.2214570400463,43,maha_embed,84.39212006446287,87.93566283041639,83.271396614984,83.80404024671537,48,maha_embed,84.44683398799691,86.92168288827892,82.39771655064393,83.88090356209712,84.23299207779799,87.44326012269241,83.41761268607073,83.68939992846727,86.09450296523751,D
runs/section_rungD/log-Mel_seed1,50,"['recon_spmax', 'recon_spmean', 'neg_cos', 'logit_nll', 'fusion_negcos', 'maha_embed', 'fusion_maha']",0,85.088720900607,27,maha_embed,85.39909906509281,88.7410710713266,83.34477319508413,84.01239385470133,44,maha_embed,84.38384182497005,87.58198178192399,82.45301024276351,84.81605048668308,85.1009098741233,88.40243559167263,83.44720356618402,84.0369330400395,86.80485457844765,D
runs/section_rungE/log-Mel_seed0,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,85.79105322720065,30,maha_embed,85.79105322720065,89.99892778658104,84.38315412138473,85.14147715991723,29,maha_embed,85.19997674471398,90.14065015661839,83.98573307018525,85.71589961844955,85.72789013499516,89.62942812712804,84.75741972862656,84.6668924429039,89.87683280378134,E
runs/section_rungE/log-Mel_seed1,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,86.0223215463726,28,maha_embed,86.0223215463726,88.72391029337233,84.19248966525402,84.88742158314095,30,maha_embed,84.88742158314095,88.07625645685918,83.01224878169639,85.66684246794858,85.69965058951396,88.14809568251735,84.47646365225869,84.41632548530237,87.13584025783739,E
runs/section_rungE/log-Mel_seed2,50,"['neg_cos', 'logit_nll', 'maha_embed']",0,86.20862285727013,15,maha_embed,86.20862285727013,88.6872884098623,81.42709677759791,84.51579074992668,15,maha_embed,84.51579074992668,88.175172180166,80.18478114681228,86.2063092341943,86.2063092341943,88.14344130831859,84.39314296866684,84.3396622225152,87.45640869686248,E
