class,scan,epoch,AUROC
pump,sweep,26,76.146
pump,sweep,28,76.098
pump,sweep,30,75.976
pump,sweep,32,75.509
pump,sweep,34,75.76
pump,sweep,36,75.196
pump,sweep,38,74.863
pump,sweep,40,74.302
pump,sweep,42,74.491
pump,sweep,44,74.537
pump,sweep,46,74.421
pump,sweep,48,74.391
pump,sweep,50,74.652
pump,zigzag,2,74.778
pump,zigzag,4,75.423
pump,zigzag,6,75.431
pump,zigzag,8,74.871
pump,zigzag,10,75.47
pump,zigzag,12,75.87
pump,zigzag,14,75.459
pump,zigzag,16,76.171
pump,zigzag,18,76.804
pump,zigzag,20,75.915
pump,zigzag,22,76.357
pump,zigzag,24,76.396
pump,zigzag,26,76.338
pump,zigzag,28,76.269
pump,zigzag,30,75.982
pump,zigzag,32,76.022
pump,zigzag,34,76.229
pump,zigzag,36,75.388
pump,zigzag,38,75.411
pump,zigzag,40,75.214
pump,zigzag,42,75.057
pump,zigzag,44,75.333
pump,zigzag,46,75.107
pump,zigzag,48,75.219
pump,zigzag,50,75.333
slider,hilbert,2,82.23
slider,hilbert,4,82.597
slider,hilbert,6,85.853
slider,hilbert,8,85.969
slider,hilbert,10,86.286
slider,hilbert,12,85.962
slider,hilbert,14,86.92
slider,hilbert,16,87.206
slider,hilbert,18,87.714
slider,hilbert,20,87.516
slider,hilbert,22,87.984
slider,hilbert,24,88.61
slider,hilbert,26,88.331
slider,hilbert,28,89.009
slider,hilbert,30,88.488
slider,hilbert,32,88.98
slider,hilbert,34,89.477
slider,hilbert,36,89.896
slider,hilbert,38,89.209
slider,hilbert,40,89.897
slider,hilbert,42,89.778
slider,hilbert,44,89.858
slider,hilbert,46,89.77
slider,hilbert,48,89.895
slider,hilbert,50,89.955
slider,zorder,2,83.157
slider,zorder,4,83.904
slider,zorder,6,85.42
slider,zorder,8,85.206
slider,zorder,10,85.583
slider,zorder,12,85.307
slider,zorder,14,88.032
slider,zorder,16,88.13
slider,zorder,18,88.301
slider,zorder,20,88.347
slider,zorder,22,88.254
slider,zorder,24,89.33
slider,zorder,26,88.863
slider,zorder,28,89.442
slider,zorder,30,89.421
slider,zorder,32,89.729
slider,zorder,34,89.475
slider,zorder,36,89.712
slider,zorder,38,89.871
slider,zorder,40,90.088
slider,zorder,42,90.042
slider,zorder,44,90.252
slider,zorder,46,90.141
slider,zorder,48,90.286
slider,zorder,50,90.472
slider,scan,2,82.546
slider,scan,4,83.503
slider,scan,6,84.671
slider,scan,8,85.828
slider,scan,10,86.22
slider,scan,12,86.015
slider,scan,14,86.804
slider,scan,16,86.865
slider,scan,18,87.496
slider,scan,20,87.572
slider,scan,22,88.338
slider,scan,24,88.645
slider,scan,26,88.269
slider,scan,28,89.578
slider,scan,30,89.038
slider,scan,32,89.694
slider,scan,34,89.592
slider,scan,36,89.619
slider,scan,38,89.142
slider,scan,40,89.46
slider,scan,42,89.599
slider,scan,44,89.78
slider,scan,46,89.79
slider,scan,48,89.799
slider,scan,50,89.819
slider,sweep,2,83.56
slider,sweep,4,83.858
slider,sweep,6,85.034
slider,sweep,8,85.051
slider,sweep,10,85.677
slider,sweep,12,85.386
slider,sweep,14,86.252
slider,sweep,16,86.598
slider,sweep,18,88.322
slider,sweep,20,88.563
slider,sweep,22,88.211
slider,sweep,24,89.292
slider,sweep,26,89.149
slider,sweep,28,89.2
slider,sweep,30,88.948
slider,sweep,32,89.082
slider,sweep,34,89.164
slider,sweep,36,89.772
slider,sweep,38,89.068
slider,sweep,40,89.2
slider,sweep,42,89.184
slider,sweep,44,89.225
slider,sweep,46,89.292
slider,sweep,48,89.346
slider,sweep,50,89.444
slider,zigzag,2,80.584
slider,zigzag,4,83.789
slider,zigzag,6,85.481
slider,zigzag,8,85.463
slider,zigzag,10,86.215
slider,zigzag,12,85.689
slider,zigzag,14,86.195
slider,zigzag,16,86.766
slider,zigzag,18,87.182
slider,zigzag,20,87.628
slider,zigzag,22,87.876
slider,zigzag,24,89.228
slider,zigzag,26,88.664
slider,zigzag,28,88.944
slider,zigzag,30,88.62
slider,zigzag,32,89.142
slider,zigzag,34,89.086
slider,zigzag,36,89.419
slider,zigzag,38,88.876
slider,zigzag,40,89.681
slider,zigzag,42,89.511
slider,zigzag,44,89.742
slider,zigzag,46,89.738
slider,zigzag,48,89.844
slider,zigzag,50,89.952
valve,hilbert,2,72.599
valve,hilbert,4,70.604
valve,hilbert,6,71.31
valve,hilbert,8,70.53
valve,hilbert,10,71.018
valve,hilbert,12,71.055
valve,hilbert,14,70.61
valve,hilbert,16,71.835
valve,hilbert,18,71.684
valve,hilbert,20,71.371
valve,hilbert,22,71.908
valve,hilbert,24,71.367
valve,hilbert,26,71.445
valve,hilbert,28,72.065
valve,hilbert,30,70.887
valve,hilbert,32,71.622
valve,hilbert,34,71.183
valve,hilbert,36,71.785
valve,hilbert,38,71.428
valve,hilbert,40,71.951
valve,hilbert,42,71.441
valve,hilbert,44,71.451
valve,hilbert,46,71.482
valve,hilbert,48,71.436
valve,hilbert,50,71.364
valve,zorder,2,67.617
valve,zorder,4,69.775
valve,zorder,6,70.173
valve,zorder,8,70.807
valve,zorder,10,71.212
valve,zorder,12,72.454
valve,zorder,14,71.627
valve,zorder,16,72.107
valve,zorder,18,71.289
valve,zorder,20,72.437
valve,zorder,22,71.578
valve,zorder,24,71.411
valve,zorder,26,71.278
valve,zorder,28,70.884
valve,zorder,30,71.137
valve,zorder,32,71.381
valve,zorder,34,71.22
valve,zorder,36,70.778
valve,zorder,38,72.288
valve,zorder,40,72.047
valve,zorder,42,71.971
valve,zorder,44,72.1
valve,zorder,46,72.013
valve,zorder,48,71.964
valve,zorder,50,72.007
valve,scan,2,68.92
valve,scan,4,69.722
valve,scan,6,70.935
valve,scan,8,70.5
valve,scan,10,70.542
valve,scan,12,69.61
valve,scan,14,69.908
valve,scan,16,71.786
valve,scan,18,70.907
valve,scan,20,71.097
valve,scan,22,70.358
valve,scan,24,70.625
valve,scan,26,69.912
valve,scan,28,70.083
valve,scan,30,70.094
valve,scan,32,70.134
valve,scan,34,71.141
