epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.6949,0.8613
1,ToyCar/id_02,615,0.8726,0.8929
1,ToyCar/id_03,615,0.9432,0.7971
1,ToyCar/id_04,615,0.9958,0.9349
1,ToyConveyor/id_01,1200,0.7769,0.6875
1,ToyConveyor/id_02,1155,0.5327,0.5778
1,ToyConveyor/id_03,1154,0.7338,0.6835
2,ToyCar/id_01,614,0.7198,0.8600
2,ToyCar/id_02,615,0.8933,0.9118
2,ToyCar/id_03,615,0.9854,0.8465
2,ToyCar/id_04,615,0.9998,0.9352
2,ToyConveyor/id_01,1200,0.7600,0.7012
2,ToyConveyor/id_02,1155,0.4772,0.5672
2,ToyConveyor/id_03,1154,0.7313,0.6796
3,ToyCar/id_01,614,0.7776,0.8341
3,ToyCar/id_02,615,0.8663,0.8957
3,ToyCar/id_03,615,0.9766,0.8224
3,ToyCar/id_04,615,0.9995,0.9168
3,ToyConveyor/id_01,1200,0.7657,0.7169
3,ToyConveyor/id_02,1155,0.4906,0.5680
3,ToyConveyor/id_03,1154,0.6511,0.6583
4,ToyCar/id_01,614,0.8592,0.8568
4,ToyCar/id_02,615,0.8979,0.8836
4,ToyCar/id_03,615,0.9831,0.8132
4,ToyCar/id_04,615,0.9999,0.9220
4,ToyConveyor/id_01,1200,0.7602,0.7488
4,ToyConveyor/id_02,1155,0.5038,0.5772
4,ToyConveyor/id_03,1154,0.7079,0.6729
5,ToyCar/id_01,614,0.8650,0.8655
5,ToyCar/id_02,615,0.8861,0.9150
5,ToyCar/id_03,615,0.9938,0.8195
5,ToyCar/id_04,615,0.9997,0.9211
5,ToyConveyor/id_01,1200,0.8116,0.7372
5,ToyConveyor/id_02,1155,0.5354,0.5774
5,ToyConveyor/id_03,1154,0.6884,0.6725
6,ToyCar/id_01,614,0.8264,0.8487
6,ToyCar/id_02,615,0.8150,0.9048
6,ToyCar/id_03,615,0.9878,0.8319
6,ToyCar/id_04,615,0.9994,0.9340
6,ToyConveyor/id_01,1200,0.7506,0.7620
6,ToyConveyor/id_02,1155,0.5346,0.5687
6,ToyConveyor/id_03,1154,0.6546,0.6734
7,ToyCar/id_01,614,0.8050,0.8671
7,ToyCar/id_02,615,0.9181,0.9111
7,ToyCar/id_03,615,0.9835,0.8291
7,ToyCar/id_04,615,0.9998,0.9430
7,ToyConveyor/id_01,1200,0.7826,0.7439
7,ToyConveyor/id_02,1155,0.5255,0.5669
7,ToyConveyor/id_03,1154,0.5220,0.6728
8,ToyCar/id_01,614,0.8505,0.8345
8,ToyCar/id_02,615,0.8995,0.9179
8,ToyCar/id_03,615,0.9702,0.8184
8,ToyCar/id_04,615,1.0000,0.9208
8,ToyConveyor/id_01,1200,0.8257,0.7475
8,ToyConveyor/id_02,1155,0.5147,0.5820
8,ToyConveyor/id_03,1154,0.7405,0.6906
9,ToyCar/id_01,614,0.8110,0.8655
9,ToyCar/id_02,615,0.8670,0.9157
9,ToyCar/id_03,615,0.8982,0.8471
9,ToyCar/id_04,615,0.9990,0.9269
9,ToyConveyor/id_01,1200,0.8386,0.7581
9,ToyConveyor/id_02,1155,0.5383,0.5571
9,ToyConveyor/id_03,1154,0.7224,0.6931
10,ToyCar/id_01,614,0.8304,0.8426
10,ToyCar/id_02,615,0.9020,0.9047
10,ToyCar/id_03,615,0.9150,0.8234
10,ToyCar/id_04,615,0.9996,0.9166
10,ToyConveyor/id_01,1200,0.7680,0.7304
10,ToyConveyor/id_02,1155,0.4765,0.5634
10,ToyConveyor/id_03,1154,0.5163,0.6989
11,ToyCar/id_01,614,0.8421,0.8420
11,ToyCar/id_02,615,0.8270,0.9028
11,ToyCar/id_03,615,0.9346,0.8260
11,ToyCar/id_04,615,0.9994,0.9208
11,ToyConveyor/id_01,1200,0.8122,0.7653
11,ToyConveyor/id_02,1155,0.4946,0.5604
11,ToyConveyor/id_03,1154,0.7178,0.6744
12,ToyCar/id_01,614,0.8251,0.8389
12,ToyCar/id_02,615,0.8505,0.8981
12,ToyCar/id_03,615,0.9769,0.8075
12,ToyCar/id_04,615,1.0000,0.8757
12,ToyConveyor/id_01,1200,0.6426,0.7421
12,ToyConveyor/id_02,1155,0.5538,0.5646
12,ToyConveyor/id_03,1154,0.5269,0.6616
13,ToyCar/id_01,614,0.8061,0.8156
13,ToyCar/id_02,615,0.8667,0.8727
13,ToyCar/id_03,615,0.9441,0.8023
13,ToyCar/id_04,615,0.9997,0.8999
13,ToyConveyor/id_01,1200,0.7454,0.7150
13,ToyConveyor/id_02,1155,0.5641,0.5886
13,ToyConveyor/id_03,1154,0.5941,0.6655
14,ToyCar/id_01,614,0.8342,0.8452
14,ToyCar/id_02,615,0.8118,0.9180
14,ToyCar/id_03,615,0.9667,0.8695
14,ToyCar/id_04,615,0.9995,0.9352
14,ToyConveyor/id_01,1200,0.7881,0.7530
14,ToyConveyor/id_02,1155,0.5387,0.5674
14,ToyConveyor/id_03,1154,0.7330,0.6613
15,ToyCar/id_01,614,0.7399,0.8153
15,ToyCar/id_02,615,0.8517,0.8853
15,ToyCar/id_03,615,0.8653,0.7801
15,ToyCar/id_04,615,1.0000,0.8446
15,ToyConveyor/id_01,1200,0.7160,0.7226
15,ToyConveyor/id_02,1155,0.5610,0.5799
15,ToyConveyor/id_03,1154,0.6227,0.6758
16,ToyCar/id_01,614,0.8236,0.8309
16,ToyCar/id_02,615,0.8508,0.8856
16,ToyCar/id_03,615,0.8421,0.7946
16,ToyCar/id_04,615,1.0000,0.9097
16,ToyConveyor/id_01,1200,0.7294,0.7362
16,ToyConveyor/id_02,1155,0.4999,0.5746
16,ToyConveyor/id_03,1154,0.7598,0.6872
17,ToyCar/id_01,614,0.8101,0.8424
17,ToyCar/id_02,615,0.8638,0.9199
17,ToyCar/id_03,615,0.9742,0.8291
17,ToyCar/id_04,615,0.9972,0.9450
17,ToyConveyor/id_01,1200,0.7944,0.7347
17,ToyConveyor/id_02,1155,0.4975,0.5861
17,ToyConveyor/id_03,1154,0.5269,0.6722
18,ToyCar/id_01,614,0.7938,0.8264
18,ToyCar/id_02,615,0.8248,0.9038
18,ToyCar/id_03,615,0.9369,0.8392
18,ToyCar/id_04,615,0.9997,0.9319
18,ToyConveyor/id_01,1200,0.7798,0.7326
18,ToyConveyor/id_02,1155,0.5216,0.5546
18,ToyConveyor/id_03,1154,0.5411,0.6342
19,ToyCar/id_01,614,0.7828,0.8035
19,ToyCar/id_02,615,0.8626,0.9073
19,ToyCar/id_03,615,0.9260,0.8353
19,ToyCar/id_04,615,0.9964,0.8896
19,ToyConveyor/id_01,1200,0.8393,0.7478
19,ToyConveyor/id_02,1155,0.5685,0.5827
19,ToyConveyor/id_03,1154,0.6155,0.6988
20,ToyCar/id_01,614,0.7375,0.7970
20,ToyCar/id_02,615,0.8766,0.9003
20,ToyCar/id_03,615,0.9719,0.7631
20,ToyCar/id_04,615,1.0000,0.8622
20,ToyConveyor/id_01,1200,0.8486,0.7587
20,ToyConveyor/id_02,1155,0.5590,0.5584
20,ToyConveyor/id_03,1154,0.6485,0.6548
21,ToyCar/id_01,614,0.7634,0.7785
21,ToyCar/id_02,615,0.8543,0.8515
