epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.8059,0.8388,0.8163,0.9030,0.8782,0.6818,0.8207
1,logit_nll,0.7471,0.7689,0.7590,0.8777,0.8418,0.5373,0.7553
1,maha_embed,0.6319,0.7560,0.8906,0.8149,0.8735,0.6367,0.7673
2,neg_cos,0.8126,0.8940,0.8608,0.9225,0.9041,0.6609,0.8425
2,logit_nll,0.7416,0.7924,0.7562,0.8280,0.8727,0.5218,0.7521
2,maha_embed,0.6579,0.7921,0.9073,0.8045,0.8895,0.6402,0.7819
3,neg_cos,0.7980,0.8873,0.9207,0.8967,0.8740,0.6459,0.8371
3,logit_nll,0.7528,0.7657,0.7799,0.8038,0.8603,0.5248,0.7479
3,maha_embed,0.6749,0.7855,0.9118,0.8262,0.8683,0.6452,0.7853
4,neg_cos,0.8166,0.8584,0.8825,0.8640,0.9399,0.6471,0.8348
4,logit_nll,0.7383,0.7760,0.7863,0.8115,0.8645,0.5395,0.7527
4,maha_embed,0.7023,0.7880,0.9157,0.8155,0.8697,0.6670,0.7930
5,neg_cos,0.8117,0.8964,0.8926,0.9485,0.9459,0.6948,0.8650
5,logit_nll,0.7069,0.7822,0.7898,0.7954,0.8651,0.5337,0.7455
5,maha_embed,0.6824,0.8034,0.9173,0.8281,0.8822,0.6606,0.7957
6,neg_cos,0.7905,0.9133,0.9003,0.9513,0.8998,0.6526,0.8513
6,logit_nll,0.7330,0.7866,0.7722,0.7956,0.8616,0.5277,0.7461
6,maha_embed,0.7010,0.7938,0.9210,0.8613,0.8817,0.6685,0.8046
7,neg_cos,0.8020,0.9192,0.8929,0.8053,0.9410,0.6293,0.8316
7,logit_nll,0.7160,0.7907,0.7827,0.7510,0.8563,0.5328,0.7382
7,maha_embed,0.6940,0.8130,0.9177,0.8437,0.8904,0.6638,0.8037
8,neg_cos,0.7842,0.8766,0.8585,0.8805,0.9242,0.6638,0.8313
8,logit_nll,0.7279,0.7441,0.7675,0.7330,0.8457,0.5589,0.7295
