epoch,section,n,neg_cos,maha_embed
16,ToyConveyor/id_02,1155,0.5974,0.5902
16,ToyConveyor/id_03,1154,0.6921,0.6991
17,ToyCar/id_01,614,0.7954,0.7695
17,ToyCar/id_02,615,0.9023,0.8718
17,ToyCar/id_03,615,0.7773,0.7504
17,ToyCar/id_04,615,0.9991,0.8326
17,ToyConveyor/id_01,1200,0.7741,0.7541
17,ToyConveyor/id_02,1155,0.5720,0.6027
17,ToyConveyor/id_03,1154,0.6743,0.6745
18,ToyCar/id_01,614,0.7866,0.8233
18,ToyCar/id_02,615,0.8909,0.9121
18,ToyCar/id_03,615,0.9468,0.7254
18,ToyCar/id_04,615,0.9998,0.8522
18,ToyConveyor/id_01,1200,0.7948,0.7147
18,ToyConveyor/id_02,1155,0.5675,0.5758
18,ToyConveyor/id_03,1154,0.6135,0.7013
19,ToyCar/id_01,614,0.8150,0.7994
19,ToyCar/id_02,615,0.8726,0.9146
19,ToyCar/id_03,615,0.9512,0.7694
19,ToyCar/id_04,615,0.9998,0.8832
19,ToyConveyor/id_01,1200,0.7824,0.7041
19,ToyConveyor/id_02,1155,0.5682,0.5773
19,ToyConveyor/id_03,1154,0.6145,0.7043
20,ToyCar/id_01,614,0.7171,0.7771
20,ToyCar/id_02,615,0.8641,0.9067
20,ToyCar/id_03,615,0.8649,0.7192
20,ToyCar/id_04,615,0.9993,0.8710
20,ToyConveyor/id_01,1200,0.6151,0.7105
20,ToyConveyor/id_02,1155,0.5504,0.5720
20,ToyConveyor/id_03,1154,0.6418,0.7050
21,ToyCar/id_01,614,0.7804,0.7747
21,ToyCar/id_02,615,0.8690,0.8997
21,ToyCar/id_03,615,0.9072,0.7466
21,ToyCar/id_04,615,0.9999,0.9239
21,ToyConveyor/id_01,1200,0.6841,0.7225
21,ToyConveyor/id_02,1155,0.5826,0.5759
21,ToyConveyor/id_03,1154,0.6553,0.7298
22,ToyCar/id_01,614,0.8171,0.8425
22,ToyCar/id_02,615,0.9420,0.9080
22,ToyCar/id_03,615,0.9452,0.7542
22,ToyCar/id_04,615,0.9999,0.9336
22,ToyConveyor/id_01,1200,0.8511,0.6991
22,ToyConveyor/id_02,1155,0.5252,0.5685
22,ToyConveyor/id_03,1154,0.6645,0.7039
23,ToyCar/id_01,614,0.7861,0.8024
23,ToyCar/id_02,615,0.9188,0.8883
23,ToyCar/id_03,615,0.9509,0.7028
23,ToyCar/id_04,615,0.9999,0.8509
23,ToyConveyor/id_01,1200,0.6954,0.7327
23,ToyConveyor/id_02,1155,0.4624,0.5642
23,ToyConveyor/id_03,1154,0.7547,0.7069
24,ToyCar/id_01,614,0.8120,0.8004
24,ToyCar/id_02,615,0.9457,0.8977
24,ToyCar/id_03,615,0.9379,0.7543
24,ToyCar/id_04,615,0.9999,0.9411
24,ToyConveyor/id_01,1200,0.8049,0.7432
24,ToyConveyor/id_02,1155,0.4904,0.5583
24,ToyConveyor/id_03,1154,0.7732,0.7056
25,ToyCar/id_01,614,0.8081,0.7924
25,ToyCar/id_02,615,0.8690,0.8959
25,ToyCar/id_03,615,0.8954,0.7887
25,ToyCar/id_04,615,0.9985,0.8824
25,ToyConveyor/id_01,1200,0.7455,0.7420
25,ToyConveyor/id_02,1155,0.5026,0.5696
25,ToyConveyor/id_03,1154,0.5346,0.7052
26,ToyCar/id_01,614,0.7669,0.7882
26,ToyCar/id_02,615,0.7770,0.8977
26,ToyCar/id_03,615,0.9910,0.7713
26,ToyCar/id_04,615,0.9999,0.8918
26,ToyConveyor/id_01,1200,0.3981,0.7215
26,ToyConveyor/id_02,1155,0.5297,0.5685
26,ToyConveyor/id_03,1154,0.5197,0.7210
27,ToyCar/id_01,614,0.7787,0.7887
27,ToyCar/id_02,615,0.8969,0.8889
27,ToyCar/id_03,615,0.9421,0.7002
27,ToyCar/id_04,615,0.9987,0.8999
27,ToyConveyor/id_01,1200,0.7366,0.7195
27,ToyConveyor/id_02,1155,0.6012,0.5847
27,ToyConveyor/id_03,1154,0.6250,0.7449
28,ToyCar/id_01,614,0.8090,0.7848
28,ToyCar/id_02,615,0.8302,0.8730
28,ToyCar/id_03,615,0.9264,0.7516
28,ToyCar/id_04,615,0.9999,0.8715
28,ToyConveyor/id_01,1200,0.7484,0.7331
28,ToyConveyor/id_02,1155,0.5591,0.5803
28,ToyConveyor/id_03,1154,0.6143,0.6733
29,ToyCar/id_01,614,0.8179,0.7896
29,ToyCar/id_02,615,0.8087,0.8945
29,ToyCar/id_03,615,0.9733,0.6829
29,ToyCar/id_04,615,0.9991,0.8668
29,ToyConveyor/id_01,1200,0.6642,0.6867
29,ToyConveyor/id_02,1155,0.5277,0.5762
29,ToyConveyor/id_03,1154,0.6022,0.6492
30,ToyCar/id_01,614,0.7400,0.7779
30,ToyCar/id_02,615,0.7784,0.8521
30,ToyCar/id_03,615,0.9793,0.6918
30,ToyCar/id_04,615,0.9997,0.8306
30,ToyConveyor/id_01,1200,0.7176,0.7100
30,ToyConveyor/id_02,1155,0.5178,0.5714
30,ToyConveyor/id_03,1154,0.5774,0.6701
31,ToyCar/id_01,614,0.8079,0.8042
31,ToyCar/id_02,615,0.8770,0.8431
31,ToyCar/id_03,615,0.9135,0.7224
31,ToyCar/id_04,615,0.9926,0.8370
31,ToyConveyor/id_01,1200,0.5866,0.7112
31,ToyConveyor/id_02,1155,0.5657,0.5902
31,ToyConveyor/id_03,1154,0.5373,0.6678
32,ToyCar/id_01,614,0.7677,0.7410
32,ToyCar/id_02,615,0.8769,0.8213
32,ToyCar/id_03,615,0.9492,0.6384
32,ToyCar/id_04,615,0.9986,0.8402
32,ToyConveyor/id_01,1200,0.8173,0.7198
32,ToyConveyor/id_02,1155,0.4959,0.5764
32,ToyConveyor/id_03,1154,0.6109,0.7258
33,ToyCar/id_01,614,0.7434,0.7772
33,ToyCar/id_02,615,0.8475,0.9031
33,ToyCar/id_03,615,0.9080,0.7074
33,ToyCar/id_04,615,0.9994,0.8539
33,ToyConveyor/id_01,1200,0.7088,0.7234
33,ToyConveyor/id_02,1155,0.5039,0.5668
33,ToyConveyor/id_03,1154,0.6609,0.6885
34,ToyCar/id_01,614,0.7531,0.7602
34,ToyCar/id_02,615,0.9047,0.8755
34,ToyCar/id_03,615,0.9344,0.6785
34,ToyCar/id_04,615,0.9995,0.8329
34,ToyConveyor/id_01,1200,0.7398,0.6935
34,ToyConveyor/id_02,1155,0.6117,0.5850
34,ToyConveyor/id_03,1154,0.6606,0.7092
35,ToyCar/id_01,614,0.8387,0.7450
35,ToyCar/id_02,615,0.8797,0.8706
35,ToyCar/id_03,615,0.8426,0.7007
35,ToyCar/id_04,615,0.9995,0.7787
35,ToyConveyor/id_01,1200,0.5595,0.7272
35,ToyConveyor/id_02,1155,0.4909,0.5708
35,ToyConveyor/id_03,1154,0.6031,0.7068
36,ToyCar/id_01,614,0.8361,0.7576
36,ToyCar/id_02,615,0.8847,0.8241
36,ToyCar/id_03,615,0.9350,0.6934
36,ToyCar/id_04,615,0.9996,0.7825
36,ToyConveyor/id_01,1200,0.6701,0.6936
36,ToyConveyor/id_02,1155,0.5878,0.5865
36,ToyConveyor/id_03,1154,0.6723,0.6869
37,ToyCar/id_01,614,0.7190,0.7505
37,ToyCar/id_02,615,0.8282,0.9014
37,ToyCar/id_03,615,0.9188,0.7189
37,ToyCar/id_04,615,0.9997,0.8023
37,ToyConveyor/id_01,1200,0.8209,0.7604
37,ToyConveyor/id_02,1155,0.5413,0.5661
37,ToyConveyor/id_03,1154,0.5432,0.6820
38,ToyCar/id_01,614,0.7820,0.7697
38,ToyCar/id_02,615,0.8072,0.8958
38,ToyCar/id_03,615,0.9790,0.6515
38,ToyCar/id_04,615,0.9990,0.8428
38,ToyConveyor/id_01,1200,0.7252,0.7495
38,ToyConveyor/id_02,1155,0.5902,0.6049
38,ToyConveyor/id_03,1154,0.6649,0.6814
39,ToyCar/id_01,614,0.7644,0.7821
39,ToyCar/id_02,615,0.8448,0.9067
39,ToyCar/id_03,615,0.9310,0.7629
39,ToyCar/id_04,615,0.9704,0.9071
39,ToyConveyor/id_01,1200,0.5268,0.7967
39,ToyConveyor/id_02,1155,0.5306,0.5681
39,ToyConveyor/id_03,1154,0.5003,0.6977
40,ToyCar/id_01,614,0.7051,0.8103
40,ToyCar/id_02,615,0.7809,0.9142
40,ToyCar/id_03,615,0.9010,0.7629
40,ToyCar/id_04,615,0.9876,0.8770
40,ToyConveyor/id_01,1200,0.7629,0.7243
40,ToyConveyor/id_02,1155,0.5310,0.5902
40,ToyConveyor/id_03,1154,0.5476,0.6473
41,ToyCar/id_01,614,0.8187,0.7884
41,ToyCar/id_02,615,0.8934,0.8974
41,ToyCar/id_03,615,0.9756,0.7710
41,ToyCar/id_04,615,1.0000,0.8857
41,ToyConveyor/id_01,1200,0.6557,0.6856
41,ToyConveyor/id_02,1155,0.4328,0.5518
41,ToyConveyor/id_03,1154,0.6642,0.6678
42,ToyCar/id_01,614,0.7042,0.7692
42,ToyCar/id_02,615,0.8029,0.8890
42,ToyCar/id_03,615,0.9823,0.7812
42,ToyCar/id_04,615,0.9995,0.8562
42,ToyConveyor/id_01,1200,0.8528,0.7376
42,ToyConveyor/id_02,1155,0.5240,0.5553
42,ToyConveyor/id_03,1154,0.5881,0.6888
43,ToyCar/id_01,614,0.6921,0.7794
43,ToyCar/id_02,615,0.8389,0.8880
43,ToyCar/id_03,615,0.9648,0.6747
43,ToyCar/id_04,615,0.9965,0.8252
43,ToyConveyor/id_01,1200,0.6106,0.7430
43,ToyConveyor/id_02,1155,0.4891,0.5780
43,ToyConveyor/id_03,1154,0.7428,0.6962
44,ToyCar/id_01,614,0.7835,0.7867
44,ToyCar/id_02,615,0.8559,0.9036
44,ToyCar/id_03,615,0.9607,0.7757
44,ToyCar/id_04,615,0.9993,0.8784
44,ToyConveyor/id_01,1200,0.7396,0.7533
44,ToyConveyor/id_02,1155,0.5578,0.5871
44,ToyConveyor/id_03,1154,0.6769,0.6619
45,ToyCar/id_01,614,0.7954,0.7741
