epoch,train_loss,train_acc
1,3.710086,89.5074
2,0.419153,99.1053
3,0.221626,99.5079
4,0.163486,99.6720
5,0.089882,99.8608
6,0.115053,99.7316
7,0.096763,99.8260
8,0.076642,99.8658
9,0.050813,99.8956
10,0.091449,99.8161
11,0.073582,99.8360
12,0.059768,99.8907
13,0.069215,99.8409
14,0.068273,99.8260
15,0.052595,99.8956
16,0.060860,99.8757
17,0.037042,99.9105
18,0.056421,99.8708
19,0.042621,99.8857
20,0.063311,99.8857
21,0.033756,99.9205
22,0.051875,99.8559
23,0.038046,99.9155
24,0.032036,99.9254
25,0.036809,99.9105
26,0.030367,99.9354
27,0.040978,99.9304
28,0.050556,99.8807
29,0.048839,99.9155
30,0.021765,99.9602
31,0.023813,99.9503
32,0.023923,99.9553
33,0.036267,99.9404
34,0.041278,99.9155
35,0.014400,99.9801
36,0.035430,99.9205
37,0.051362,99.8608
38,0.030076,99.9304
39,0.029996,99.9304
40,0.016545,99.9702
41,0.026103,99.9404
42,0.030968,99.9404
43,0.024377,99.9404
44,0.036325,99.9254
45,0.028098,99.9553
46,0.016577,99.9652
47,0.039065,99.8907
48,0.024756,99.9404
49,0.013707,99.9702
50,0.034980,99.9006
