epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7092,0.7998,0.7623,0.8507,0.8528,0.5421,0.7528
22,maha_embed,0.7238,0.8293,0.9187,0.8413,0.8639,0.6591,0.8060
23,neg_cos,0.8021,0.9006,0.8429,0.9042,0.8873,0.6054,0.8238
23,logit_nll,0.7441,0.7799,0.7595,0.7296,0.8487,0.5401,0.7336
23,maha_embed,0.7361,0.8301,0.9126,0.8277,0.8140,0.6707,0.7985
24,neg_cos,0.8075,0.8957,0.8439,0.9230,0.9044,0.6838,0.8430
24,logit_nll,0.7732,0.7663,0.7624,0.7887,0.8486,0.5333,0.7454
24,maha_embed,0.7644,0.8507,0.9018,0.8450,0.8529,0.6731,0.8147
25,neg_cos,0.8209,0.8835,0.8378,0.9550,0.8324,0.6058,0.8225
25,logit_nll,0.7503,0.7456,0.7489,0.7886,0.8241,0.5262,0.7306
25,maha_embed,0.7530,0.8404,0.9068,0.8381,0.8411,0.6765,0.8093
26,neg_cos,0.7802,0.8908,0.8549,0.9518,0.8376,0.4806,0.7993
26,logit_nll,0.7130,0.7859,0.7525,0.8020,0.8227,0.5122,0.7314
26,maha_embed,0.7437,0.8216,0.9039,0.8506,0.8404,0.6722,0.8054
27,neg_cos,0.7860,0.9364,0.8318,0.9660,0.8855,0.6619,0.8446
27,logit_nll,0.7026,0.8182,0.7638,0.8267,0.8223,0.5418,0.7459
27,maha_embed,0.7307,0.8457,0.8916,0.8286,0.8230,0.6838,0.8006
28,neg_cos,0.8200,0.9061,0.8162,0.9514,0.8624,0.6458,0.8336
28,logit_nll,0.7132,0.7808,0.7651,0.7878,0.8370,0.5426,0.7378
28,maha_embed,0.7361,0.8249,0.8923,0.8611,0.8196,0.6639,0.7997
29,neg_cos,0.8218,0.8764,0.8660,0.9721,0.9245,0.5756,0.8394
29,logit_nll,0.7181,0.7653,0.7668,0.7766,0.8231,0.5217,0.7286
29,maha_embed,0.7676,0.8220,0.9217,0.8547,0.8115,0.6391,0.8028
30,neg_cos,0.8173,0.8708,0.8425,0.9834,0.9026,0.6066,0.8372
30,logit_nll,0.7395,0.7832,0.7604,0.8125,0.8266,0.5199,0.7403
30,maha_embed,0.7466,0.8025,0.9118,0.8966,0.7868,0.6528,0.7995
31,neg_cos,0.7885,0.9072,0.9030,0.9885,0.9157,0.5574,0.8434
31,logit_nll,0.7131,0.7553,0.7669,0.8958,0.8206,0.5198,0.7452
31,maha_embed,0.7721,0.8402,0.9190,0.8650,0.7995,0.6578,0.8089
32,neg_cos,0.8274,0.8897,0.9262,0.9191,0.9007,0.6418,0.8508
32,logit_nll,0.7394,0.7670,0.8053,0.7258,0.8337,0.5496,0.7368
32,maha_embed,0.7253,0.8218,0.9352,0.9181,0.7607,0.6762,0.8062
33,neg_cos,0.7843,0.9238,0.8303,0.9742,0.8718,0.6040,0.8314
33,logit_nll,0.6807,0.7888,0.7664,0.8215,0.7951,0.5225,0.7292
33,maha_embed,0.7200,0.8284,0.8988,0.8833,0.8141,0.6620,0.8011
34,neg_cos,0.8145,0.8719,0.8728,0.9112,0.8696,0.6422,0.8304
34,logit_nll,0.7175,0.7998,0.7271,0.7498,0.8182,0.5469,0.7265
34,maha_embed,0.7256,0.8188,0.9199,0.8416,0.7865,0.6627,0.7925
35,neg_cos,0.8064,0.8479,0.8655,0.9245,0.8956,0.5494,0.8149
35,logit_nll,0.7114,0.7540,0.7325,0.7547,0.8002,0.5106,0.7106
35,maha_embed,0.7157,0.8398,0.8773,0.8780,0.7749,0.6709,0.7928
36,neg_cos,0.8574,0.8404,0.8357,0.9260,0.8933,0.6357,0.8314
36,logit_nll,0.7948,0.7398,0.7644,0.7886,0.8323,0.5182,0.7397
36,maha_embed,0.7510,0.8392,0.8985,0.8530,0.7625,0.6568,0.7935
37,neg_cos,0.8011,0.9321,0.8061,0.9259,0.8560,0.6647,0.8310
37,logit_nll,0.7205,0.8045,0.7549,0.7881,0.8123,0.5338,0.7357
37,maha_embed,0.7227,0.8535,0.9015,0.8531,0.7949,0.6705,0.7994
38,neg_cos,0.7471,0.8534,0.8381,0.9707,0.8725,0.6680,0.8250
38,logit_nll,0.6985,0.7790,0.7472,0.8610,0.8123,0.5235,0.7369
38,maha_embed,0.7487,0.8430,0.8945,0.8868,0.7936,0.6813,0.8080
39,neg_cos,0.7878,0.9033,0.8742,0.8956,0.8877,0.5317,0.8134
39,logit_nll,0.7012,0.7665,0.7629,0.7281,0.8202,0.5135,0.7154
39,maha_embed,0.7477,0.8284,0.8911,0.8521,0.8424,0.6931,0.8091
40,neg_cos,0.8041,0.8666,0.8484,0.9341,0.8444,0.6392,0.8228
40,logit_nll,0.7026,0.7937,0.7774,0.7422,0.7935,0.5329,0.7237
40,maha_embed,0.7553,0.8354,0.9037,0.8781,0.8439,0.6549,0.8119
41,neg_cos,0.7807,0.8654,0.8437,0.9596,0.9085,0.6025,0.8267
41,logit_nll,0.7342,0.7961,0.7564,0.8828,0.8387,0.5176,0.7543
41,maha_embed,0.7292,0.8287,0.9152,0.9107,0.8343,0.6321,0.8084
42,neg_cos,0.7110,0.8617,0.8544,0.9506,0.8868,0.6732,0.8230
42,logit_nll,0.7146,0.7471,0.7453,0.7886,0.8160,0.5325,0.7240
42,maha_embed,0.7629,0.8409,0.8961,0.8508,0.8229,0.6603,0.8057
43,neg_cos,0.7791,0.8341,0.9084,0.9546,0.8876,0.6104,0.8291
43,logit_nll,0.7175,0.7380,0.7934,0.7996,0.8230,0.5252,0.7328
43,maha_embed,0.7664,0.8316,0.8980,0.8269,0.7965,0.6736,0.7988
44,neg_cos,0.7325,0.8619,0.8575,0.9520,0.8853,0.6465,0.8226
44,logit_nll,0.7004,0.7908,0.7559,0.8406,0.8193,0.5280,0.7392
44,maha_embed,0.7108,0.8157,0.8713,0.8915,0.8367,0.6715,0.7996
45,neg_cos,0.8084,0.8840,0.8746,0.9580,0.8561,0.5886,0.8283
45,logit_nll,0.7032,0.7598,0.7886,0.8100,0.8159,0.5300,0.7346
45,maha_embed,0.7531,0.8175,0.9013,0.8714,0.8168,0.6545,0.8024
46,neg_cos,0.8210,0.8994,0.8292,0.9443,0.8557,0.5914,0.8235
46,logit_nll,0.7090,0.7600,0.7711,0.7599,0.8073,0.5174,0.7208
46,maha_embed,0.7133,0.8002,0.9247,0.8773,0.8261,0.6600,0.8003
47,neg_cos,0.8080,0.8784,0.9022,0.9572,0.9396,0.6518,0.8562
47,logit_nll,0.7261,0.7577,0.7948,0.7603,0.8301,0.5315,0.7334
47,maha_embed,0.7025,0.8292,0.8924,0.8141,0.8461,0.6555,0.7900
48,neg_cos,0.8077,0.8446,0.9087,0.8602,0.8963,0.6174,0.8225
48,logit_nll,0.7386,0.7402,0.7663,0.7390,0.8191,0.5315,0.7224
48,maha_embed,0.7260,0.8062,0.9091,0.8161,0.8346,0.6560,0.7913
49,neg_cos,0.7926,0.8752,0.9317,0.9186,0.9307,0.5401,0.8315
49,logit_nll,0.7255,0.7424,0.7150,0.7641,0.8430,0.5257,0.7193
49,maha_embed,0.7345,0.8147,0.9398,0.8671,0.8198,0.6600,0.8060
50,neg_cos,0.7955,0.9114,0.8795,0.9087,0.9039,0.5720,0.8285
50,logit_nll,0.6913,0.7512,0.7649,0.7860,0.8403,0.5299,0.7272
50,maha_embed,0.7442,0.8192,0.9167,0.8554,0.8127,0.6502,0.7997
