epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,recon_spmax,0.3890,0.4276,0.6094,0.3141,0.4290,0.5314,0.4501
1,recon_spmean,0.3616,0.4008,0.6441,0.2742,0.4088,0.5281,0.4363
1,neg_cos,0.7300,0.7952,0.8046,0.8219,0.7605,0.5528,0.7442
1,logit_nll,0.7411,0.7822,0.8097,0.7705,0.7495,0.5250,0.7297
1,fusion_negcos,0.5455,0.6242,0.8704,0.5628,0.6191,0.5524,0.6291
1,maha_embed,0.6857,0.7594,0.8649,0.8594,0.8212,0.6155,0.7677
1,fusion_maha,0.4894,0.5776,0.7264,0.5392,0.6201,0.5827,0.5893
2,recon_spmax,0.5009,0.4502,0.6027,0.4573,0.5276,0.4897,0.5047
2,recon_spmean,0.4309,0.4469,0.6918,0.3760,0.5215,0.5262,0.4989
2,neg_cos,0.6757,0.7909,0.9131,0.7392,0.7905,0.5115,0.7368
2,logit_nll,0.7369,0.7035,0.8823,0.7054,0.7872,0.5070,0.7204
2,fusion_negcos,0.6080,0.6983,0.8887,0.6010,0.7287,0.5273,0.6753
2,maha_embed,0.7186,0.8194,0.8951,0.8533,0.8001,0.5932,0.7799
2,fusion_maha,0.5818,0.6876,0.7971,0.6523,0.7009,0.5644,0.6640
3,recon_spmax,0.4973,0.4839,0.5858,0.3551,0.5122,0.4998,0.4890
3,recon_spmean,0.4399,0.4636,0.6365,0.3052,0.5057,0.5259,0.4795
3,neg_cos,0.6515,0.8501,0.8396,0.7790,0.8141,0.5365,0.7451
3,logit_nll,0.6903,0.7819,0.7731,0.7539,0.8099,0.5165,0.7209
3,fusion_negcos,0.6393,0.7246,0.8208,0.5339,0.7289,0.5496,0.6662
3,maha_embed,0.6521,0.8157,0.8493,0.8547,0.8100,0.5999,0.7636
3,fusion_maha,0.5439,0.6380,0.7320,0.5656,0.7198,0.5736,0.6288
4,recon_spmax,0.5861,0.4392,0.6212,0.3276,0.5851,0.4885,0.5079
4,recon_spmean,0.4590,0.3925,0.6913,0.2792,0.5558,0.5273,0.4842
4,neg_cos,0.7453,0.8454,0.8694,0.8638,0.7459,0.5192,0.7648
4,logit_nll,0.7199,0.7665,0.8153,0.7198,0.8101,0.5167,0.7247
4,fusion_negcos,0.6098,0.6612,0.8691,0.5379,0.7339,0.5377,0.6583
4,maha_embed,0.7380,0.8489,0.9012,0.8917,0.7878,0.6330,0.8001
4,fusion_maha,0.6127,0.6635,0.7952,0.5924,0.7206,0.5900,0.6624
5,recon_spmax,0.6358,0.5449,0.6029,0.4717,0.4960,0.4863,0.5396
5,recon_spmean,0.5501,0.4992,0.7020,0.3495,0.4700,0.5156,0.5144
5,neg_cos,0.7576,0.8327,0.8909,0.6788,0.7439,0.5651,0.7449
5,logit_nll,0.7295,0.7616,0.8413,0.6804,0.7725,0.5317,0.7195
5,fusion_negcos,0.6595,0.6771,0.8827,0.5287,0.6928,0.5671,0.6680
5,maha_embed,0.7944,0.8323,0.9238,0.8579,0.8537,0.6239,0.8143
5,fusion_maha,0.6884,0.6857,0.8193,0.5958,0.7025,0.5814,0.6788
6,recon_spmax,0.5933,0.5293,0.5142,0.3718,0.5467,0.4968,0.5087
6,recon_spmean,0.4932,0.4792,0.6676,0.2828,0.5377,0.5210,0.4969
6,neg_cos,0.8116,0.7990,0.8650,0.7234,0.7123,0.6068,0.7530
6,logit_nll,0.7427,0.7404,0.8286,0.6896,0.7657,0.5345,0.7169
6,fusion_negcos,0.6423,0.6571,0.8695,0.5110,0.7132,0.5724,0.6609
6,maha_embed,0.7610,0.8175,0.8909,0.8562,0.8112,0.6303,0.7945
6,fusion_maha,0.6463,0.6649,0.7951,0.5560,0.7634,0.5799,0.6676
7,recon_spmax,0.5386,0.5317,0.7807,0.3019,0.5726,0.5008,0.5377
7,recon_spmean,0.4611,0.4525,0.7458,0.2727,0.5910,0.5195,0.5071
7,neg_cos,0.7323,0.8265,0.8725,0.8233,0.7534,0.5713,0.7632
7,logit_nll,0.6842,0.7511,0.8241,0.7899,0.8026,0.5130,0.7275
7,fusion_negcos,0.6112,0.6757,0.8842,0.5418,0.7847,0.5553,0.6755
7,maha_embed,0.7402,0.8284,0.8996,0.7085,0.8477,0.6192,0.7739
7,fusion_maha,0.5768,0.6567,0.8581,0.4525,0.7801,0.5915,0.6526
8,recon_spmax,0.4343,0.4205,0.5145,0.3340,0.6074,0.4958,0.4678
8,recon_spmean,0.3785,0.3836,0.6563,0.2867,0.5855,0.5174,0.4680
8,neg_cos,0.7037,0.7995,0.8361,0.8125,0.7811,0.5725,0.7509
8,logit_nll,0.6922,0.7707,0.7847,0.7362,0.7840,0.5036,0.7119
8,fusion_negcos,0.5593,0.6500,0.8546,0.5465,0.7647,0.5528,0.6547
