epoch,total,cos,ce,acc,skipped
1,5.386864,0.329363,5.057501,60.5298,0
2,1.498294,0.222664,1.275631,88.7320,0
3,0.903196,0.201662,0.701533,93.5037,0
4,0.902208,0.197066,0.705142,93.6031,0
5,0.810748,0.191658,0.619091,94.3039,0
6,0.659914,0.187651,0.472263,95.4173,0
7,0.631666,0.187115,0.444551,95.9193,0
8,0.666990,0.183311,0.483679,95.6708,0
9,0.590380,0.180146,0.410233,96.2125,0
10,0.508459,0.177319,0.331140,97.1321,0
11,0.525731,0.175565,0.350166,96.7692,0
12,0.535616,0.174164,0.361452,96.7195,0
13,0.475274,0.173248,0.302026,97.2166,0
14,0.472301,0.172054,0.300247,97.2414,0
15,0.411340,0.173869,0.237471,97.7534,0
16,0.354743,0.169933,0.184810,98.1013,0
17,0.592247,0.173606,0.418641,95.8696,0
18,0.354574,0.166615,0.187958,98.2703,0
19,0.325677,0.164848,0.160829,98.4045,0
20,0.380036,0.166468,0.213569,97.7931,0
21,0.362587,0.163740,0.198847,98.1013,0
22,0.329592,0.163042,0.166551,98.4095,0
23,0.313067,0.162227,0.150840,98.4790,0
24,0.372763,0.166560,0.206203,98.1112,0
25,0.413797,0.164181,0.249616,97.4054,0
26,0.380483,0.163335,0.217148,97.8776,0
27,0.342563,0.162510,0.180053,98.3250,0
28,0.302754,0.159208,0.143546,98.5934,0
29,0.335153,0.159771,0.175381,98.3946,0
30,0.351380,0.165395,0.185985,98.1858,0
31,0.350256,0.161750,0.188506,98.2902,0
32,0.255392,0.158480,0.096912,98.9463,0
33,0.312452,0.157263,0.155188,98.4393,0
34,0.303317,0.157430,0.145887,98.5337,0
35,0.304094,0.156620,0.147474,98.5983,0
36,0.281813,0.157258,0.124555,98.6331,0
37,0.290650,0.160575,0.130076,98.7773,0
38,0.293338,0.156032,0.137306,98.7425,0
39,0.306950,0.155456,0.151493,98.5735,0
40,0.263019,0.156585,0.106434,98.9214,0
41,0.316288,0.159300,0.156989,98.5387,0
42,0.295380,0.156935,0.138444,98.5934,0
43,0.276652,0.154280,0.122371,98.8469,0
44,0.315813,0.155417,0.160397,98.4691,0
45,0.322609,0.159760,0.162849,98.4741,0
46,0.241518,0.154627,0.086891,99.1004,0
47,0.261929,0.153277,0.108651,98.9463,0
48,0.304492,0.152938,0.151554,98.5934,0
49,0.275321,0.154270,0.121052,98.7872,0
50,0.262807,0.153559,0.109248,98.9115,0
