readout,best_epoch,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
recon_spmax,26,55.38,67.47,75.33,59.25,57.59,54.86,61.65
recon_spmean,43,51.86,50.96,69.45,45.16,58.59,55.35,55.23
neg_cos,32,82.25,90.79,94.91,87.01,83.81,58.40,82.86
logit_nll,31,79.73,84.00,85.05,86.16,79.57,55.54,78.34
maha_embed,43,80.01,86.39,94.12,91.38,84.55,68.88,84.22
fusion_negcos,35,66.59,75.20,88.51,69.27,78.58,59.39,72.92
fusion_maha,43,70.18,73.41,83.45,74.03,76.53,63.67,73.55
