class,scorer,epoch,AUROC
pump,teacher-maha,30,72.06
pump,teacher-maha,32,72.06
pump,teacher-maha,34,72.06
pump,teacher-maha,36,72.06
pump,teacher-maha,38,72.06
pump,teacher-maha,40,72.06
pump,teacher-maha,42,72.06
pump,teacher-maha,44,72.06
pump,teacher-maha,46,72.06
pump,teacher-maha,48,72.06
pump,teacher-maha,50,72.06
pump,teacher-knn,2,74.886
pump,teacher-knn,4,74.886
pump,teacher-knn,6,74.886
pump,teacher-knn,8,74.886
pump,teacher-knn,10,74.886
pump,teacher-knn,12,74.886
pump,teacher-knn,14,74.886
pump,teacher-knn,16,74.886
pump,teacher-knn,18,74.886
pump,teacher-knn,20,74.886
pump,teacher-knn,22,74.886
pump,teacher-knn,24,74.886
pump,teacher-knn,26,74.886
pump,teacher-knn,28,74.886
pump,teacher-knn,30,74.886
pump,teacher-knn,32,74.886
pump,teacher-knn,34,74.886
pump,teacher-knn,36,74.886
pump,teacher-knn,38,74.886
pump,teacher-knn,40,74.886
pump,teacher-knn,42,74.886
pump,teacher-knn,44,74.886
pump,teacher-knn,46,74.886
pump,teacher-knn,48,74.886
pump,teacher-knn,50,74.886
slider,cos-residual,2,84.419
slider,cos-residual,4,85.682
slider,cos-residual,6,87.314
slider,cos-residual,8,88.006
slider,cos-residual,10,88.498
slider,cos-residual,12,88.248
slider,cos-residual,14,88.208
slider,cos-residual,16,88.305
slider,cos-residual,18,88.258
slider,cos-residual,20,88.548
slider,cos-residual,22,88.509
slider,cos-residual,24,88.709
slider,cos-residual,26,88.863
slider,cos-residual,28,89.003
slider,cos-residual,30,88.964
slider,cos-residual,32,88.965
slider,cos-residual,34,88.928
slider,cos-residual,36,88.939
slider,cos-residual,38,88.634
slider,cos-residual,40,88.613
slider,cos-residual,42,89.042
slider,cos-residual,44,89.119
slider,cos-residual,46,89.14
slider,cos-residual,48,89.083
slider,cos-residual,50,89.204
slider,student-maha,2,82.23
slider,student-maha,4,82.597
slider,student-maha,6,85.853
slider,student-maha,8,85.969
slider,student-maha,10,86.286
slider,student-maha,12,85.962
slider,student-maha,14,86.92
slider,student-maha,16,87.206
slider,student-maha,18,87.714
slider,student-maha,20,87.516
slider,student-maha,22,87.984
slider,student-maha,24,88.61
slider,student-maha,26,88.331
slider,student-maha,28,89.009
slider,student-maha,30,88.488
slider,student-maha,32,88.98
slider,student-maha,34,89.477
slider,student-maha,36,89.896
slider,student-maha,38,89.209
slider,student-maha,40,89.897
slider,student-maha,42,89.778
slider,student-maha,44,89.858
slider,student-maha,46,89.77
slider,student-maha,48,89.895
slider,student-maha,50,89.955
slider,student-knn,2,83.569
slider,student-knn,4,83.743
slider,student-knn,6,85.882
slider,student-knn,8,86.35
slider,student-knn,10,85.674
slider,student-knn,12,85.108
slider,student-knn,14,85.892
slider,student-knn,16,85.999
slider,student-knn,18,86.219
slider,student-knn,20,86.462
slider,student-knn,22,86.843
slider,student-knn,24,87.001
slider,student-knn,26,86.458
slider,student-knn,28,86.976
slider,student-knn,30,86.758
slider,student-knn,32,86.881
slider,student-knn,34,86.996
slider,student-knn,36,87.335
slider,student-knn,38,87.249
slider,student-knn,40,87.336
slider,student-knn,42,87.353
slider,student-knn,44,87.388
slider,student-knn,46,87.294
slider,student-knn,48,87.505
slider,student-knn,50,87.513
slider,teacher-maha,2,90.779
slider,teacher-maha,4,90.779
slider,teacher-maha,6,90.779
slider,teacher-maha,8,90.779
slider,teacher-maha,10,90.779
slider,teacher-maha,12,90.779
slider,teacher-maha,14,90.779
slider,teacher-maha,16,90.779
slider,teacher-maha,18,90.779
slider,teacher-maha,20,90.779
slider,teacher-maha,22,90.779
slider,teacher-maha,24,90.779
slider,teacher-maha,26,90.779
slider,teacher-maha,28,90.779
slider,teacher-maha,30,90.779
slider,teacher-maha,32,90.779
slider,teacher-maha,34,90.779
slider,teacher-maha,36,90.779
slider,teacher-maha,38,90.779
slider,teacher-maha,40,90.779
slider,teacher-maha,42,90.779
slider,teacher-maha,44,90.779
slider,teacher-maha,46,90.779
slider,teacher-maha,48,90.779
slider,teacher-maha,50,90.779
slider,teacher-knn,2,88.251
slider,teacher-knn,4,88.251
slider,teacher-knn,6,88.251
slider,teacher-knn,8,88.251
slider,teacher-knn,10,88.251
slider,teacher-knn,12,88.251
slider,teacher-knn,14,88.251
slider,teacher-knn,16,88.251
slider,teacher-knn,18,88.251
slider,teacher-knn,20,88.251
slider,teacher-knn,22,88.251
slider,teacher-knn,24,88.251
slider,teacher-knn,26,88.251
slider,teacher-knn,28,88.251
slider,teacher-knn,30,88.251
slider,teacher-knn,32,88.251
slider,teacher-knn,34,88.251
slider,teacher-knn,36,88.251
slider,teacher-knn,38,88.251
slider,teacher-knn,40,88.251
slider,teacher-knn,42,88.251
slider,teacher-knn,44,88.251
slider,teacher-knn,46,88.251
slider,teacher-knn,48,88.251
slider,teacher-knn,50,88.251
valve,cos-residual,2,57.411
valve,cos-residual,4,58.907
valve,cos-residual,6,62.079
valve,cos-residual,8,62.373
valve,cos-residual,10,64.7
valve,cos-residual,12,63.023
valve,cos-residual,14,63.006
valve,cos-residual,16,62.327
valve,cos-residual,18,62.039
valve,cos-residual,20,62.616
valve,cos-residual,22,62.441
valve,cos-residual,24,62.582
valve,cos-residual,26,62.115
valve,cos-residual,28,62.351
valve,cos-residual,30,61.698
valve,cos-residual,32,61.491
valve,cos-residual,34,61.067
valve,cos-residual,36,61.335
valve,cos-residual,38,60.829
valve,cos-residual,40,60.362
valve,cos-residual,42,61.354
valve,cos-residual,44,61.24
valve,cos-residual,46,61.433
valve,cos-residual,48,61.584
valve,cos-residual,50,61.505
valve,student-maha,2,72.599
valve,student-maha,4,70.604
valve,student-maha,6,71.31
valve,student-maha,8,70.53
valve,student-maha,10,71.018
valve,student-maha,12,71.055
valve,student-maha,14,70.61
valve,student-maha,16,71.835
valve,student-maha,18,71.684
valve,student-maha,20,71.371
valve,student-maha,22,71.908
valve,student-maha,24,71.367
valve,student-maha,26,71.445
valve,student-maha,28,72.065
valve,student-maha,30,70.887
valve,student-maha,32,71.622
valve,student-maha,34,71.183
valve,student-maha,36,71.785
valve,student-maha,38,71.428
valve,student-maha,40,71.951
valve,student-maha,42,71.441
valve,student-maha,44,71.451
valve,student-maha,46,71.482
valve,student-maha,48,71.436
valve,student-maha,50,71.364
valve,student-knn,2,72.936
valve,student-knn,4,73.927
valve,student-knn,6,72.796
valve,student-knn,8,72.239
valve,student-knn,10,72.098
valve,student-knn,12,70.859
valve,student-knn,14,71.913
valve,student-knn,16,71.886
valve,student-knn,18,71.405
valve,student-knn,20,70.939
valve,student-knn,22,70.311
valve,student-knn,24,70.489
valve,student-knn,26,70.599
valve,student-knn,28,70.847
valve,student-knn,30,70.514
valve,student-knn,32,70.485
valve,student-knn,34,70.176
valve,student-knn,36,70.787
valve,student-knn,38,70.994
valve,student-knn,40,71.241
valve,student-knn,42,70.735
valve,student-knn,44,70.783
valve,student-knn,46,70.667
valve,student-knn,48,70.662
valve,student-knn,50,70.865
valve,teacher-maha,2,70.001
valve,teacher-maha,4,70.001
valve,teacher-maha,6,70.001
valve,teacher-maha,8,70.001
valve,teacher-maha,10,70.001
valve,teacher-maha,12,70.001
valve,teacher-maha,14,70.001
valve,teacher-maha,16,70.001
valve,teacher-maha,18,70.001
valve,teacher-maha,20,70.001
valve,teacher-maha,22,70.001
valve,teacher-maha,24,70.001
valve,teacher-maha,26,70.001
valve,teacher-maha,28,70.001
valve,teacher-maha,30,70.001
valve,teacher-maha,32,70.001
valve,teacher-maha,34,70.001
valve,teacher-maha,36,70.001
valve,teacher-maha,38,70.001
valve,teacher-maha,40,70.001
valve,teacher-maha,42,70.001
valve,teacher-maha,44,70.001
valve,teacher-maha,46,70.001
valve,teacher-maha,48,70.001
valve,teacher-maha,50,70.001
valve,teacher-knn,2,69.467
valve,teacher-knn,4,69.467
valve,teacher-knn,6,69.467
valve,teacher-knn,8,69.467
valve,teacher-knn,10,69.467
valve,teacher-knn,12,69.467
valve,teacher-knn,14,69.467
valve,teacher-knn,16,69.467
valve,teacher-knn,18,69.467
valve,teacher-knn,20,69.467
valve,teacher-knn,22,69.467
valve,teacher-knn,24,69.467
valve,teacher-knn,26,69.467
valve,teacher-knn,28,69.467
valve,teacher-knn,30,69.467
valve,teacher-knn,32,69.467
valve,teacher-knn,34,69.467
valve,teacher-knn,36,69.467
valve,teacher-knn,38,69.467
valve,teacher-knn,40,69.467
valve,teacher-knn,42,69.467
valve,teacher-knn,44,69.467
valve,teacher-knn,46,69.467
valve,teacher-knn,48,69.467
valve,teacher-knn,50,69.467
ToyCar,cos-residual,2,65.89
ToyCar,cos-residual,4,71.234
ToyCar,cos-residual,6,70.318
ToyCar,cos-residual,8,71.059
ToyCar,cos-residual,10,69.807
ToyCar,cos-residual,12,69.539
ToyCar,cos-residual,14,69.724
ToyCar,cos-residual,16,70.223
ToyCar,cos-residual,18,66.704
ToyCar,cos-residual,20,67.618
ToyCar,cos-residual,22,68.114
ToyCar,cos-residual,24,65.347
ToyCar,cos-residual,26,65.511
ToyCar,cos-residual,28,64.154
ToyCar,cos-residual,30,64.524
ToyCar,cos-residual,32,64.993
ToyCar,cos-residual,34,63.767
ToyCar,cos-residual,36,63.06
ToyCar,cos-residual,38,64.204
ToyCar,cos-residual,40,62.692
ToyCar,cos-residual,42,62.499
ToyCar,cos-residual,44,62.632
ToyCar,cos-residual,46,62.362
ToyCar,cos-residual,48,62.025
ToyCar,cos-residual,50,62.472
ToyCar,student-maha,2,65.229
ToyCar,student-maha,4,68.962
ToyCar,student-maha,6,68.458
ToyCar,student-maha,8,67.88
ToyCar,student-maha,10,69.321
ToyCar,student-maha,12,69.461
ToyCar,student-maha,14,69.865
ToyCar,student-maha,16,71.539
ToyCar,student-maha,18,70.945
ToyCar,student-maha,20,71.989
ToyCar,student-maha,22,72.773
ToyCar,student-maha,24,72.377
ToyCar,student-maha,26,73.153
ToyCar,student-maha,28,74.406
ToyCar,student-maha,30,74.272
ToyCar,student-maha,32,74.008
ToyCar,student-maha,34,74.061
ToyCar,student-maha,36,74.342
ToyCar,student-maha,38,73.723
ToyCar,student-maha,40,75.371
ToyCar,student-maha,42,75.137
ToyCar,student-maha,44,75.31
ToyCar,student-maha,46,75.205
ToyCar,student-maha,48,74.954
ToyCar,student-maha,50,74.911
ToyCar,student-knn,2,62.585
ToyCar,student-knn,4,65.856
ToyCar,student-knn,6,62.721
ToyCar,student-knn,8,62.479
ToyCar,student-knn,10,63.779
ToyCar,student-knn,12,64.577
ToyCar,student-knn,14,65.253
ToyCar,student-knn,16,65.804
ToyCar,student-knn,18,66.758
ToyCar,student-knn,20,67.402
ToyCar,student-knn,22,67.631
ToyCar,student-knn,24,67.772
ToyCar,student-knn,26,68.338
ToyCar,student-knn,28,68.462
ToyCar,student-knn,30,69.069
ToyCar,student-knn,32,67.889
ToyCar,student-knn,34,68.603
ToyCar,student-knn,36,69.193
ToyCar,student-knn,38,69.445
ToyCar,student-knn,40,69.459
ToyCar,student-knn,42,69.961
ToyCar,student-knn,44,70.112
ToyCar,student-knn,46,70.064
ToyCar,student-knn,48,70.214
ToyCar,student-knn,50,69.933
ToyCar,teacher-maha,2,75.682
