epoch,loss,train_acc
1,10.406287,17.1679
2,5.733656,40.0815
3,4.485470,48.1535
4,3.946485,52.1994
5,3.582269,55.0425
6,3.289112,57.2146
7,3.174582,58.6262
8,3.022929,59.6849
9,2.883965,61.3301
10,2.773009,62.3142
11,2.738935,62.5727
12,2.669305,63.3481
13,2.590938,63.7407
14,2.525516,64.7796
15,2.519306,64.6454
16,2.486170,65.0380
17,2.447431,65.5102
18,2.391147,65.9824
19,2.413511,65.4307
20,2.343113,66.4794
21,2.345506,66.5242
22,2.307774,66.9467
23,2.313029,66.7876
24,2.357547,66.2806
25,2.291736,67.0461
26,2.239619,67.3692
27,2.178338,68.1843
28,2.191818,67.7121
29,2.203134,67.8513
30,2.193354,67.9557
31,2.173058,67.6475
32,2.123537,68.4974
33,2.194540,67.6077
34,2.181108,67.9805
35,2.124600,68.6813
36,2.109300,68.7211
37,2.095811,69.1436
38,2.112981,68.7410
39,2.136412,68.4328
40,2.066520,69.0243
41,2.063169,69.0392
42,2.037191,69.3524
43,2.041702,69.0541
44,2.003286,69.7102
45,2.032838,69.4319
46,2.045668,69.2529
47,2.026653,69.3772
48,2.033756,69.6357
49,2.014342,69.6655
50,2.017494,69.5064
51,1.984057,70.2520
52,2.019311,69.6953
53,1.990963,69.7947
54,2.006661,69.5661
55,1.973547,69.7599
56,1.998577,69.7251
57,1.971947,70.2769
58,1.971474,69.9985
59,1.978202,69.9389
60,1.928730,70.4409
61,1.967611,69.5462
62,1.961107,70.0035
63,1.943920,70.3017
64,1.932811,70.4657
65,1.934331,70.1377
66,1.935924,70.2321
67,1.912493,70.5950
68,1.957023,70.2271
69,1.919244,70.5651
70,1.931279,70.5999
71,1.948482,70.0830
72,1.947594,70.3663
73,1.921259,70.4011
74,1.932321,70.3017
75,1.931362,70.2818
76,1.960027,69.9737
77,1.928423,70.3812
78,1.912455,70.5453
79,1.872646,70.9628
80,1.917361,70.9876
81,1.912644,70.3613
82,1.875407,70.9578
83,1.890445,70.7540
84,1.898123,70.6745
85,1.894720,70.7540
86,1.853866,70.9379
87,1.867369,70.7640
88,1.866715,71.2262
89,1.879344,70.8087
90,1.908037,70.3961
91,1.878004,70.7143
92,1.858792,70.9180
93,1.869282,70.6099
94,1.853127,71.1914
95,1.835256,71.2262
96,1.877821,70.8087
97,1.849659,70.9727
98,1.860281,70.8385
99,1.841456,71.1715
100,1.841550,71.2958
