readout,ToyCar,ToyConveyor,fan,pump,slider,valve,mean_AUROC,mean_AP
maha_concat_raw,75.68,63.79,58.44,72.06,90.78,70.02,71.80,72.58
maha_embed,73.38,58.63,55.64,70.42,87.85,58.58,67.42,69.63
logit_nll,84.63,60.36,74.54,83.00,77.29,91.51,78.56,80.73
neg_cos,83.87,62.63,75.28,85.37,81.10,90.50,79.79,82.20
