arm,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
no-aug,neg_cos,82.29333333333334,87.35333333333334,86.94666666666667,95.25666666666666,93.34666666666668,70.12333333333333,85.88666666666666
no-aug,logit_nll,74.98,79.09666666666668,80.44666666666666,85.80666666666667,84.16333333333333,54.26666666666667,76.46
no-aug,maha_embed,73.68666666666665,83.37,93.22000000000001,87.25666666666666,86.82333333333334,66.64,81.83
aug,neg_cos,73.16,87.88,93.67999999999999,88.87666666666667,87.54,59.28333333333333,81.73333333333335
aug,logit_nll,77.39333333333333,85.44,89.07333333333334,81.19333333333333,87.04,55.29333333333333,79.24333333333334
aug,maha_embed,80.21333333333332,87.13,96.85333333333334,95.54333333333334,84.14999999999999,64.08000000000001,84.66
aug-nomixup,neg_cos,80.95666666666666,91.36,90.25999999999999,90.88333333333333,87.43,58.22333333333333,83.18666666666665
aug-nomixup,logit_nll,75.14999999999999,81.10000000000001,79.51333333333334,88.08333333333333,84.37666666666667,51.196666666666665,76.57333333333332
aug-nomixup,maha_embed,74.99,86.47666666666667,92.59666666666668,87.12,86.25666666666666,65.48333333333333,82.15333333333334
