epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7115,0.7725,0.7462,0.7370,0.8411,0.5372,0.7242
22,maha_embed,0.6710,0.8549,0.9088,0.8560,0.8221,0.6453,0.7930
23,neg_cos,0.7434,0.8694,0.8519,0.9493,0.9061,0.5742,0.8157
23,logit_nll,0.7037,0.7569,0.7619,0.6739,0.8196,0.5210,0.7061
23,maha_embed,0.7101,0.8352,0.9113,0.8437,0.8491,0.6486,0.7997
24,neg_cos,0.8211,0.9057,0.8170,0.9657,0.8768,0.6042,0.8317
24,logit_nll,0.7195,0.7647,0.7574,0.7509,0.8140,0.5176,0.7207
24,maha_embed,0.7255,0.8356,0.9100,0.8312,0.8341,0.6455,0.7970
25,neg_cos,0.7048,0.9224,0.8556,0.9469,0.8809,0.6024,0.8188
25,logit_nll,0.7208,0.8028,0.7660,0.7786,0.8265,0.5302,0.7375
25,maha_embed,0.6606,0.8433,0.8990,0.8655,0.8426,0.6373,0.7914
26,neg_cos,0.7390,0.8962,0.8288,0.9321,0.9045,0.6544,0.8258
26,logit_nll,0.6697,0.7882,0.7491,0.7684,0.8306,0.5305,0.7227
26,maha_embed,0.7482,0.8313,0.8925,0.8499,0.8243,0.6150,0.7935
27,neg_cos,0.7978,0.8303,0.8232,0.9097,0.8815,0.5510,0.7989
27,logit_nll,0.7262,0.7487,0.7685,0.7056,0.8063,0.5175,0.7121
27,maha_embed,0.7263,0.8057,0.8895,0.8257,0.7935,0.6695,0.7850
28,neg_cos,0.7902,0.8171,0.8674,0.8723,0.9103,0.5751,0.8054
28,logit_nll,0.7262,0.7525,0.7585,0.7550,0.8343,0.5203,0.7245
28,maha_embed,0.7224,0.8375,0.8981,0.8555,0.7978,0.6512,0.7938
29,neg_cos,0.7913,0.9040,0.8506,0.9035,0.9137,0.6211,0.8307
29,logit_nll,0.7206,0.7874,0.7629,0.7935,0.8321,0.5378,0.7391
29,maha_embed,0.7304,0.8172,0.9113,0.8787,0.8247,0.6376,0.8000
30,neg_cos,0.8109,0.9162,0.8692,0.8821,0.9149,0.5943,0.8312
30,logit_nll,0.7155,0.7734,0.7763,0.7192,0.8301,0.5259,0.7234
30,maha_embed,0.7581,0.8172,0.9176,0.7976,0.8639,0.6635,0.8030
31,neg_cos,0.7760,0.9386,0.8815,0.8911,0.9263,0.6155,0.8382
31,logit_nll,0.7138,0.8043,0.7663,0.7156,0.8336,0.5270,0.7267
31,maha_embed,0.7253,0.8125,0.9133,0.8781,0.8415,0.6483,0.8031
32,neg_cos,0.7654,0.9242,0.9090,0.9524,0.8936,0.5927,0.8396
