readout,best_epoch,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
recon_spmax,29,48.78,56.53,71.46,56.91,77.31,51.39,60.40
recon_spmean,29,49.45,52.08,71.15,43.06,66.28,55.33,56.22
neg_cos,27,74.31,87.53,92.06,86.16,90.22,57.85,81.36
logit_nll,20,74.34,80.06,91.59,80.08,83.67,55.68,77.57
maha_embed,27,82.41,88.88,93.50,90.50,88.36,66.88,85.09
fusion_negcos,25,70.13,76.18,90.86,69.86,81.22,60.01,74.71
fusion_maha,32,68.99,73.22,84.85,72.94,78.85,62.37,73.54
