epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.8094,0.8778
1,ToyCar/id_02,615,0.7918,0.8888
1,ToyCar/id_03,615,0.9744,0.8050
1,ToyCar/id_04,615,0.9998,0.8897
1,ToyConveyor/id_01,1200,0.6883,0.6746
1,ToyConveyor/id_02,1155,0.5273,0.5805
1,ToyConveyor/id_03,1154,0.6088,0.6898
2,ToyCar/id_01,614,0.7775,0.8862
2,ToyCar/id_02,615,0.9317,0.8840
2,ToyCar/id_03,615,0.9655,0.8226
2,ToyCar/id_04,615,0.9995,0.9139
2,ToyConveyor/id_01,1200,0.7436,0.6718
2,ToyConveyor/id_02,1155,0.5424,0.5858
2,ToyConveyor/id_03,1154,0.5763,0.6718
3,ToyCar/id_01,614,0.8474,0.8773
3,ToyCar/id_02,615,0.9079,0.8776
3,ToyCar/id_03,615,0.9873,0.8173
3,ToyCar/id_04,615,0.9999,0.8795
3,ToyConveyor/id_01,1200,0.7923,0.6814
3,ToyConveyor/id_02,1155,0.5348,0.5802
3,ToyConveyor/id_03,1154,0.6481,0.6872
4,ToyCar/id_01,614,0.8176,0.8825
4,ToyCar/id_02,615,0.9060,0.9043
4,ToyCar/id_03,615,0.9879,0.8301
4,ToyCar/id_04,615,0.9994,0.8866
4,ToyConveyor/id_01,1200,0.7607,0.7220
4,ToyConveyor/id_02,1155,0.5372,0.5787
4,ToyConveyor/id_03,1154,0.7220,0.7052
5,ToyCar/id_01,614,0.8721,0.8863
5,ToyCar/id_02,615,0.8998,0.9098
5,ToyCar/id_03,615,0.9877,0.8367
5,ToyCar/id_04,615,0.9999,0.9285
5,ToyConveyor/id_01,1200,0.6708,0.7408
5,ToyConveyor/id_02,1155,0.5613,0.5877
5,ToyConveyor/id_03,1154,0.6665,0.7051
6,ToyCar/id_01,614,0.8416,0.8675
6,ToyCar/id_02,615,0.9306,0.9183
6,ToyCar/id_03,615,0.9904,0.8350
6,ToyCar/id_04,615,0.9999,0.9266
6,ToyConveyor/id_01,1200,0.7931,0.7324
6,ToyConveyor/id_02,1155,0.5388,0.5801
6,ToyConveyor/id_03,1154,0.6909,0.6962
7,ToyCar/id_01,614,0.8614,0.8586
7,ToyCar/id_02,615,0.9289,0.8756
7,ToyCar/id_03,615,0.9778,0.7528
7,ToyCar/id_04,615,0.9994,0.8785
7,ToyConveyor/id_01,1200,0.8491,0.7174
7,ToyConveyor/id_02,1155,0.5573,0.5755
7,ToyConveyor/id_03,1154,0.6453,0.6882
8,ToyCar/id_01,614,0.8872,0.8952
8,ToyCar/id_02,615,0.9280,0.9260
8,ToyCar/id_03,615,0.9356,0.8300
8,ToyCar/id_04,615,0.9999,0.9189
8,ToyConveyor/id_01,1200,0.7615,0.7253
8,ToyConveyor/id_02,1155,0.5306,0.5676
8,ToyConveyor/id_03,1154,0.6498,0.6813
9,ToyCar/id_01,614,0.8484,0.8724
9,ToyCar/id_02,615,0.8760,0.9033
9,ToyCar/id_03,615,0.9949,0.8694
9,ToyCar/id_04,615,0.9999,0.9065
9,ToyConveyor/id_01,1200,0.8391,0.7235
9,ToyConveyor/id_02,1155,0.5086,0.5787
9,ToyConveyor/id_03,1154,0.6742,0.7001
10,ToyCar/id_01,614,0.8338,0.8520
10,ToyCar/id_02,615,0.9327,0.9005
10,ToyCar/id_03,615,0.9209,0.7772
10,ToyCar/id_04,615,0.9997,0.8452
10,ToyConveyor/id_01,1200,0.7442,0.7339
10,ToyConveyor/id_02,1155,0.5359,0.5724
10,ToyConveyor/id_03,1154,0.5845,0.6798
11,ToyCar/id_01,614,0.8700,0.8482
11,ToyCar/id_02,615,0.8609,0.8832
11,ToyCar/id_03,615,0.9675,0.8301
11,ToyCar/id_04,615,1.0000,0.8711
11,ToyConveyor/id_01,1200,0.8146,0.7446
11,ToyConveyor/id_02,1155,0.5542,0.5819
11,ToyConveyor/id_03,1154,0.6171,0.6676
12,ToyCar/id_01,614,0.8298,0.8467
12,ToyCar/id_02,615,0.9003,0.8641
12,ToyCar/id_03,615,0.9477,0.7762
12,ToyCar/id_04,615,0.9998,0.8472
12,ToyConveyor/id_01,1200,0.8520,0.7319
12,ToyConveyor/id_02,1155,0.5772,0.5749
12,ToyConveyor/id_03,1154,0.6691,0.6892
13,ToyCar/id_01,614,0.8747,0.8516
13,ToyCar/id_02,615,0.8977,0.8891
13,ToyCar/id_03,615,0.9831,0.8252
13,ToyCar/id_04,615,0.9999,0.8927
13,ToyConveyor/id_01,1200,0.5609,0.7379
13,ToyConveyor/id_02,1155,0.5009,0.5685
13,ToyConveyor/id_03,1154,0.6498,0.6843
14,ToyCar/id_01,614,0.8232,0.8137
14,ToyCar/id_02,615,0.8568,0.8740
14,ToyCar/id_03,615,0.9427,0.8151
14,ToyCar/id_04,615,0.9999,0.8491
14,ToyConveyor/id_01,1200,0.6599,0.7284
14,ToyConveyor/id_02,1155,0.5522,0.5683
14,ToyConveyor/id_03,1154,0.4844,0.6793
15,ToyCar/id_01,614,0.8462,0.8238
15,ToyCar/id_02,615,0.7907,0.8835
15,ToyCar/id_03,615,0.9759,0.8232
15,ToyCar/id_04,615,0.9998,0.8714
15,ToyConveyor/id_01,1200,0.7748,0.7216
15,ToyConveyor/id_02,1155,0.5252,0.5658
15,ToyConveyor/id_03,1154,0.5833,0.6767
16,ToyCar/id_01,614,0.8676,0.8643
16,ToyCar/id_02,615,0.8838,0.8727
16,ToyCar/id_03,615,0.9408,0.7220
16,ToyCar/id_04,615,0.9922,0.8599
16,ToyConveyor/id_01,1200,0.6974,0.7292
16,ToyConveyor/id_02,1155,0.5330,0.5760
16,ToyConveyor/id_03,1154,0.6750,0.6558
17,ToyCar/id_01,614,0.8499,0.8214
17,ToyCar/id_02,615,0.9289,0.8584
17,ToyCar/id_03,615,0.9746,0.7651
17,ToyCar/id_04,615,1.0000,0.8832
17,ToyConveyor/id_01,1200,0.6950,0.7214
17,ToyConveyor/id_02,1155,0.5725,0.5789
17,ToyConveyor/id_03,1154,0.7125,0.6936
18,ToyCar/id_01,614,0.8501,0.8207
18,ToyCar/id_02,615,0.8543,0.8879
18,ToyCar/id_03,615,0.9583,0.7701
18,ToyCar/id_04,615,0.9998,0.9001
18,ToyConveyor/id_01,1200,0.7965,0.7554
18,ToyConveyor/id_02,1155,0.5554,0.5740
18,ToyConveyor/id_03,1154,0.6512,0.6679
19,ToyCar/id_01,614,0.8441,0.7958
19,ToyCar/id_02,615,0.8337,0.8699
19,ToyCar/id_03,615,0.9780,0.7395
19,ToyCar/id_04,615,0.9995,0.8567
19,ToyConveyor/id_01,1200,0.6561,0.7537
