epoch,train_loss,train_acc,skipped
1,6.155237,52.9549,0
2,1.153792,89.3583,0
3,0.737196,93.4490,0
4,0.623291,93.8715,0
5,0.513121,95.1986,0
6,0.437113,95.9392,0
7,0.301649,96.9730,0
8,0.346778,96.6947,0
9,0.301517,97.1519,0
10,0.348469,96.6301,0
11,0.202278,98.0764,0
12,0.276373,97.2961,0
13,0.219719,97.7086,0
14,0.229204,97.7186,0
15,0.208142,97.9572,0
16,0.193560,98.2951,0
17,0.232737,97.5943,0
18,0.173089,98.3101,0
19,0.177904,98.2305,0
20,0.171965,98.2454,0
21,0.189520,98.1063,0
22,0.175098,98.2653,0
23,0.166131,98.4144,0
24,0.237519,97.7037,0
25,0.119097,98.7972,0
26,0.209486,98.0764,0
27,0.162173,98.6182,0
28,0.113827,98.7773,0
29,0.123679,98.7972,0
30,0.126849,98.6580,0
31,0.112519,98.8667,0
32,0.083137,99.0755,0
33,0.144608,98.5635,0
34,0.162955,98.5387,0
35,0.117649,98.7822,0
36,0.092656,99.1153,0
37,0.076031,99.1998,0
38,0.066980,99.1749,0
39,0.107578,98.8966,0
40,0.148728,98.6480,0
41,0.092713,99.1252,0
42,0.119950,98.7574,0
43,0.069903,99.3489,0
44,0.063353,99.2693,0
45,0.068722,99.2097,0
46,0.118304,98.7773,0
47,0.080979,99.2246,0
48,0.100080,98.9512,0
49,0.085438,99.1451,0
50,0.061759,99.2992,0
