epoch,section,n,neg_cos,maha_embed
16,ToyConveyor/id_02,1155,0.5287,0.5933
16,ToyConveyor/id_03,1154,0.3537,0.7261
17,ToyCar/id_01,614,0.8074,0.8586
17,ToyCar/id_02,615,0.7698,0.8855
17,ToyCar/id_03,615,0.9422,0.9471
17,ToyCar/id_04,615,0.9921,0.7817
17,ToyConveyor/id_01,1200,0.6225,0.7938
17,ToyConveyor/id_02,1155,0.5655,0.5325
17,ToyConveyor/id_03,1154,0.4812,0.6354
18,ToyCar/id_01,614,0.7313,0.7971
18,ToyCar/id_02,615,0.6220,0.8490
18,ToyCar/id_03,615,0.9544,0.9272
18,ToyCar/id_04,615,0.9972,0.8541
18,ToyConveyor/id_01,1200,0.8103,0.8367
18,ToyConveyor/id_02,1155,0.5136,0.5811
18,ToyConveyor/id_03,1154,0.4896,0.7085
19,ToyCar/id_01,614,0.6146,0.8347
19,ToyCar/id_02,615,0.6693,0.8587
19,ToyCar/id_03,615,0.9859,0.8897
19,ToyCar/id_04,615,0.9836,0.8749
19,ToyConveyor/id_01,1200,0.6001,0.7433
19,ToyConveyor/id_02,1155,0.5163,0.5910
19,ToyConveyor/id_03,1154,0.5673,0.7353
20,ToyCar/id_01,614,0.6172,0.7143
20,ToyCar/id_02,615,0.6082,0.7854
20,ToyCar/id_03,615,0.9063,0.8245
20,ToyCar/id_04,615,0.9773,0.7480
20,ToyConveyor/id_01,1200,0.7824,0.8168
20,ToyConveyor/id_02,1155,0.4907,0.5285
20,ToyConveyor/id_03,1154,0.3588,0.7490
21,ToyCar/id_01,614,0.8517,0.8635
21,ToyCar/id_02,615,0.8017,0.8718
21,ToyCar/id_03,615,0.8437,0.9071
21,ToyCar/id_04,615,0.9861,0.8223
21,ToyConveyor/id_01,1200,0.6445,0.8075
21,ToyConveyor/id_02,1155,0.5119,0.5518
21,ToyConveyor/id_03,1154,0.6951,0.7048
22,ToyCar/id_01,614,0.8265,0.8112
22,ToyCar/id_02,615,0.8858,0.8533
22,ToyCar/id_03,615,0.9903,0.8273
22,ToyCar/id_04,615,0.9520,0.9243
22,ToyConveyor/id_01,1200,0.8389,0.7563
22,ToyConveyor/id_02,1155,0.5627,0.5559
22,ToyConveyor/id_03,1154,0.6177,0.6963
23,ToyCar/id_01,614,0.6333,0.7785
23,ToyCar/id_02,615,0.8648,0.8656
23,ToyCar/id_03,615,0.9793,0.8353
23,ToyCar/id_04,615,0.9994,0.6336
23,ToyConveyor/id_01,1200,0.8169,0.7799
23,ToyConveyor/id_02,1155,0.5202,0.6137
23,ToyConveyor/id_03,1154,0.7557,0.6866
24,ToyCar/id_01,614,0.6633,0.8572
24,ToyCar/id_02,615,0.9179,0.8317
24,ToyCar/id_03,615,0.9877,0.7521
24,ToyCar/id_04,615,0.9893,0.8872
24,ToyConveyor/id_01,1200,0.6875,0.8091
24,ToyConveyor/id_02,1155,0.5002,0.6034
24,ToyConveyor/id_03,1154,0.5182,0.6402
25,ToyCar/id_01,614,0.8353,0.8114
25,ToyCar/id_02,615,0.7259,0.8324
25,ToyCar/id_03,615,0.9865,0.7847
25,ToyCar/id_04,615,0.9878,0.6660
25,ToyConveyor/id_01,1200,0.7884,0.7757
25,ToyConveyor/id_02,1155,0.4979,0.5538
25,ToyConveyor/id_03,1154,0.5234,0.6070
26,ToyCar/id_01,614,0.7452,0.7679
26,ToyCar/id_02,615,0.8397,0.8825
26,ToyCar/id_03,615,0.9399,0.9523
26,ToyCar/id_04,615,0.9451,0.8968
26,ToyConveyor/id_01,1200,0.7395,0.7560
26,ToyConveyor/id_02,1155,0.4919,0.5394
26,ToyConveyor/id_03,1154,0.6012,0.6897
27,ToyCar/id_01,614,0.8120,0.7702
27,ToyCar/id_02,615,0.9128,0.8908
27,ToyCar/id_03,615,0.9021,0.9100
27,ToyCar/id_04,615,0.9407,0.9308
27,ToyConveyor/id_01,1200,0.7741,0.7820
27,ToyConveyor/id_02,1155,0.4567,0.5220
27,ToyConveyor/id_03,1154,0.5611,0.6767
28,ToyCar/id_01,614,0.7278,0.7786
28,ToyCar/id_02,615,0.9518,0.9266
28,ToyCar/id_03,615,0.9247,0.8947
28,ToyCar/id_04,615,0.9939,0.9279
28,ToyConveyor/id_01,1200,0.7058,0.7670
28,ToyConveyor/id_02,1155,0.5508,0.6027
28,ToyConveyor/id_03,1154,0.6409,0.7086
29,ToyCar/id_01,614,0.8319,0.7648
29,ToyCar/id_02,615,0.8307,0.9130
29,ToyCar/id_03,615,0.9830,0.8616
29,ToyCar/id_04,615,0.9993,0.8335
29,ToyConveyor/id_01,1200,0.6246,0.7556
29,ToyConveyor/id_02,1155,0.5475,0.5337
29,ToyConveyor/id_03,1154,0.4243,0.6472
30,ToyCar/id_01,614,0.8180,0.8127
30,ToyCar/id_02,615,0.8846,0.9129
30,ToyCar/id_03,615,0.8476,0.9534
30,ToyCar/id_04,615,0.9947,0.9461
30,ToyConveyor/id_01,1200,0.5751,0.7490
30,ToyConveyor/id_02,1155,0.5452,0.5278
30,ToyConveyor/id_03,1154,0.5915,0.6896
31,ToyCar/id_01,614,0.6891,0.7245
31,ToyCar/id_02,615,0.6643,0.8762
31,ToyCar/id_03,615,0.8692,0.9223
31,ToyCar/id_04,615,0.9862,0.9355
31,ToyConveyor/id_01,1200,0.7576,0.8210
31,ToyConveyor/id_02,1155,0.4662,0.5475
31,ToyConveyor/id_03,1154,0.5030,0.6477
32,ToyCar/id_01,614,0.7045,0.7938
32,ToyCar/id_02,615,0.9326,0.9204
32,ToyCar/id_03,615,0.9265,0.9101
32,ToyCar/id_04,615,0.9917,0.8584
32,ToyConveyor/id_01,1200,0.6512,0.7882
32,ToyConveyor/id_02,1155,0.5751,0.5314
32,ToyConveyor/id_03,1154,0.7942,0.6539
33,ToyCar/id_01,614,0.5498,0.8420
33,ToyCar/id_02,615,0.7644,0.8719
33,ToyCar/id_03,615,0.9818,0.9481
33,ToyCar/id_04,615,0.9888,0.8837
33,ToyConveyor/id_01,1200,0.6039,0.7377
33,ToyConveyor/id_02,1155,0.5146,0.5755
33,ToyConveyor/id_03,1154,0.6405,0.6837
34,ToyCar/id_01,614,0.6556,0.8030
34,ToyCar/id_02,615,0.7851,0.8727
34,ToyCar/id_03,615,0.8415,0.9413
34,ToyCar/id_04,615,0.9749,0.9091
34,ToyConveyor/id_01,1200,0.5790,0.7911
34,ToyConveyor/id_02,1155,0.4446,0.5720
34,ToyConveyor/id_03,1154,0.6404,0.6874
35,ToyCar/id_01,614,0.8665,0.7907
35,ToyCar/id_02,615,0.6894,0.8750
35,ToyCar/id_03,615,0.8822,0.9509
35,ToyCar/id_04,615,0.9497,0.9539
35,ToyConveyor/id_01,1200,0.7355,0.7322
35,ToyConveyor/id_02,1155,0.5026,0.5411
35,ToyConveyor/id_03,1154,0.6981,0.6738
36,ToyCar/id_01,614,0.8310,0.8104
36,ToyCar/id_02,615,0.5259,0.8802
36,ToyCar/id_03,615,0.8969,0.9161
36,ToyCar/id_04,615,0.9875,0.8180
36,ToyConveyor/id_01,1200,0.7328,0.7580
36,ToyConveyor/id_02,1155,0.5467,0.5503
36,ToyConveyor/id_03,1154,0.3649,0.6626
37,ToyCar/id_01,614,0.7627,0.7930
37,ToyCar/id_02,615,0.7419,0.9000
37,ToyCar/id_03,615,0.9837,0.7807
37,ToyCar/id_04,615,0.9936,0.8489
37,ToyConveyor/id_01,1200,0.6613,0.7785
37,ToyConveyor/id_02,1155,0.6498,0.6008
37,ToyConveyor/id_03,1154,0.5356,0.7455
38,ToyCar/id_01,614,0.6965,0.8056
38,ToyCar/id_02,615,0.7343,0.8936
38,ToyCar/id_03,615,0.9744,0.9393
38,ToyCar/id_04,615,0.9717,0.9695
38,ToyConveyor/id_01,1200,0.7538,0.7998
38,ToyConveyor/id_02,1155,0.5149,0.5470
38,ToyConveyor/id_03,1154,0.5032,0.6461
39,ToyCar/id_01,614,0.7419,0.8315
39,ToyCar/id_02,615,0.8239,0.8933
39,ToyCar/id_03,615,0.9842,0.8909
39,ToyCar/id_04,615,0.9918,0.9201
39,ToyConveyor/id_01,1200,0.7443,0.8108
39,ToyConveyor/id_02,1155,0.5930,0.5682
39,ToyConveyor/id_03,1154,0.4848,0.6474
40,ToyCar/id_01,614,0.7783,0.8125
40,ToyCar/id_02,615,0.8641,0.8751
40,ToyCar/id_03,615,0.8654,0.9194
40,ToyCar/id_04,615,0.9281,0.8502
40,ToyConveyor/id_01,1200,0.7360,0.7972
40,ToyConveyor/id_02,1155,0.5520,0.5634
40,ToyConveyor/id_03,1154,0.4763,0.6729
41,ToyCar/id_01,614,0.8132,0.7789
41,ToyCar/id_02,615,0.7232,0.9014
41,ToyCar/id_03,615,0.9828,0.9591
41,ToyCar/id_04,615,0.9988,0.9199
41,ToyConveyor/id_01,1200,0.6603,0.8143
41,ToyConveyor/id_02,1155,0.6058,0.5885
41,ToyConveyor/id_03,1154,0.3395,0.7197
42,ToyCar/id_01,614,0.8511,0.8315
42,ToyCar/id_02,615,0.7507,0.9080
42,ToyCar/id_03,615,0.9139,0.9746
42,ToyCar/id_04,615,0.9167,0.9786
42,ToyConveyor/id_01,1200,0.7431,0.8125
42,ToyConveyor/id_02,1155,0.5363,0.5365
42,ToyConveyor/id_03,1154,0.8053,0.7427
43,ToyCar/id_01,614,0.7920,0.8202
43,ToyCar/id_02,615,0.8582,0.9139
43,ToyCar/id_03,615,0.9085,0.9765
43,ToyCar/id_04,615,0.9865,0.9655
43,ToyConveyor/id_01,1200,0.7386,0.7821
43,ToyConveyor/id_02,1155,0.5440,0.5681
43,ToyConveyor/id_03,1154,0.6480,0.6857
44,ToyCar/id_01,614,0.7812,0.8118
44,ToyCar/id_02,615,0.8997,0.9050
44,ToyCar/id_03,615,0.9821,0.9221
44,ToyCar/id_04,615,0.9893,0.8464
44,ToyConveyor/id_01,1200,0.7167,0.7914
44,ToyConveyor/id_02,1155,0.5443,0.5567
44,ToyConveyor/id_03,1154,0.6050,0.6658
45,ToyCar/id_01,614,0.7307,0.8317
45,ToyCar/id_02,615,0.7449,0.8971
45,ToyCar/id_03,615,0.9223,0.9145
