epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
1,neg_cos,0.7574,0.8170,0.8481,0.7749,0.7063,0.5046,0.7347
1,logit_nll,0.7045,0.7602,0.8362,0.8158,0.7078,0.5118,0.7227
1,maha_embed,0.7623,0.8032,0.8660,0.8363,0.7864,0.6130,0.7779
2,neg_cos,0.7702,0.7689,0.8862,0.7036,0.8027,0.5424,0.7457
2,logit_nll,0.7680,0.7227,0.8501,0.6951,0.8124,0.5188,0.7279
2,maha_embed,0.7906,0.7876,0.8767,0.8513,0.8421,0.6082,0.7928
3,neg_cos,0.7516,0.8424,0.8425,0.7094,0.8504,0.5566,0.7588
3,logit_nll,0.7352,0.7556,0.8017,0.7228,0.7963,0.5084,0.7200
3,maha_embed,0.7506,0.8112,0.8897,0.8833,0.8448,0.6207,0.8001
4,neg_cos,0.7413,0.7665,0.8177,0.7707,0.8705,0.5674,0.7557
4,logit_nll,0.7770,0.7179,0.8082,0.7887,0.8724,0.5188,0.7472
4,maha_embed,0.7856,0.8270,0.8846,0.8345,0.8319,0.6294,0.7988
5,neg_cos,0.7073,0.7494,0.9427,0.7994,0.8334,0.6204,0.7754
5,logit_nll,0.7139,0.7235,0.8515,0.7681,0.8180,0.5244,0.7332
5,maha_embed,0.7012,0.8023,0.9224,0.8635,0.8022,0.6302,0.7869
6,neg_cos,0.6839,0.8040,0.8554,0.7850,0.7823,0.5194,0.7383
6,logit_nll,0.7553,0.7480,0.8446,0.7040,0.8166,0.5041,0.7288
6,maha_embed,0.7734,0.8243,0.9210,0.8492,0.7860,0.6428,0.7995
7,neg_cos,0.7164,0.7919,0.8429,0.7512,0.8510,0.5395,0.7488
7,logit_nll,0.7406,0.7617,0.8003,0.6408,0.7838,0.5186,0.7076
7,maha_embed,0.7828,0.8004,0.8640,0.8878,0.8059,0.6622,0.8005
8,neg_cos,0.7114,0.8654,0.8374,0.7335,0.7709,0.5665,0.7475
8,logit_nll,0.6919,0.7722,0.8324,0.6965,0.7639,0.5061,0.7105
8,maha_embed,0.7781,0.8713,0.9141,0.8805,0.8363,0.6246,0.8175
9,neg_cos,0.6797,0.8459,0.8594,0.7674,0.8502,0.5074,0.7516
9,logit_nll,0.6992,0.7336,0.8270,0.6378,0.7837,0.5052,0.6978
9,maha_embed,0.7408,0.8521,0.8714,0.7815,0.8178,0.6061,0.7783
10,neg_cos,0.6649,0.7388,0.8430,0.8157,0.7620,0.5283,0.7254
10,logit_nll,0.6987,0.7507,0.8275,0.7354,0.8075,0.5072,0.7212
10,maha_embed,0.7938,0.8482,0.8983,0.8603,0.8745,0.6350,0.8183
11,neg_cos,0.7915,0.8098,0.8098,0.7447,0.8630,0.4954,0.7523
11,logit_nll,0.7180,0.7358,0.7751,0.6715,0.8283,0.5045,0.7055
11,maha_embed,0.7705,0.8831,0.8911,0.8718,0.7407,0.6340,0.7986
12,neg_cos,0.7712,0.7339,0.8644,0.8019,0.8820,0.5311,0.7641
12,logit_nll,0.6877,0.7320,0.7830,0.6724,0.8400,0.5115,0.7044
12,maha_embed,0.8077,0.8316,0.9215,0.9255,0.7581,0.6473,0.8153
13,neg_cos,0.7492,0.8133,0.8585,0.6952,0.8121,0.5072,0.7393
13,logit_nll,0.7215,0.7338,0.8315,0.6370,0.7541,0.5071,0.6975
13,maha_embed,0.8161,0.8442,0.8901,0.8675,0.8083,0.6152,0.8069
14,neg_cos,0.7914,0.8207,0.8671,0.7322,0.7774,0.5155,0.7507
14,logit_nll,0.7588,0.7543,0.7732,0.6452,0.7894,0.5068,0.7046
14,maha_embed,0.7750,0.8660,0.9257,0.8531,0.8638,0.6420,0.8209
15,neg_cos,0.7187,0.8377,0.8495,0.6903,0.8296,0.5224,0.7414
15,logit_nll,0.7046,0.7411,0.8137,0.6023,0.7968,0.5266,0.6975
15,maha_embed,0.7807,0.8210,0.9071,0.9016,0.8545,0.6477,0.8188
16,neg_cos,0.7194,0.7979,0.8973,0.7695,0.8688,0.5799,0.7721
16,logit_nll,0.7127,0.7599,0.8674,0.7019,0.7972,0.5125,0.7253
16,maha_embed,0.7519,0.8630,0.8694,0.8689,0.8342,0.6441,0.8053
17,neg_cos,0.7434,0.7223,0.8582,0.7638,0.8816,0.5559,0.7542
17,logit_nll,0.7012,0.7352,0.8323,0.6649,0.8071,0.5099,0.7084
17,maha_embed,0.7611,0.8232,0.8909,0.9036,0.8341,0.6223,0.8059
18,neg_cos,0.6856,0.8022,0.7626,0.7960,0.9252,0.5078,0.7466
18,logit_nll,0.7141,0.7402,0.7438,0.7237,0.8464,0.5084,0.7128
18,maha_embed,0.7483,0.8664,0.9018,0.9037,0.7915,0.6424,0.8090
19,neg_cos,0.6827,0.8344,0.9094,0.7583,0.8496,0.5288,0.7605
19,logit_nll,0.7052,0.7559,0.8157,0.6542,0.8117,0.5041,0.7078
19,maha_embed,0.7822,0.8660,0.9257,0.9160,0.8743,0.6292,0.8322
20,neg_cos,0.7086,0.8527,0.8545,0.8082,0.8138,0.5380,0.7626
20,logit_nll,0.7095,0.7563,0.7826,0.7091,0.7950,0.5077,0.7100
20,maha_embed,0.8009,0.8729,0.9258,0.9204,0.8200,0.6249,0.8275
21,neg_cos,0.7406,0.8221,0.9353,0.7530,0.8022,0.5803,0.7723
21,logit_nll,0.7026,0.7439,0.8518,0.6692,0.7727,0.5298,0.7117
21,maha_embed,0.7519,0.8883,0.8948,0.8907,0.8079,0.6236,0.8095
22,neg_cos,0.7216,0.8908,0.9109,0.7630,0.8509,0.5693,0.7844
22,logit_nll,0.6975,0.7631,0.8140,0.6355,0.7872,0.5063,0.7006
22,maha_embed,0.7795,0.8640,0.9394,0.8889,0.8555,0.6532,0.8301
23,neg_cos,0.7921,0.7505,0.8385,0.8072,0.8985,0.5583,0.7742
23,logit_nll,0.7171,0.7365,0.7791,0.6577,0.8210,0.5061,0.7029
23,maha_embed,0.8170,0.8743,0.9070,0.9126,0.8599,0.6514,0.8370
24,neg_cos,0.7998,0.8611,0.9057,0.8445,0.8999,0.5693,0.8134
24,logit_nll,0.7147,0.7728,0.8294,0.7297,0.8337,0.5147,0.7325
24,maha_embed,0.8047,0.8773,0.9162,0.8961,0.8192,0.6677,0.8302
