epoch,train_loss,train_acc,skipped
1,6.103582,53.2929,0
2,1.186061,88.9706,0
3,0.747215,92.8774,0
4,0.601774,94.3586,0
5,0.487386,95.4570,0
6,0.539314,94.5474,0
7,0.361187,96.5704,0
8,0.337383,96.7493,0
9,0.246919,97.6589,0
10,0.265567,97.2663,0
11,0.238647,97.6987,0
12,0.284547,97.2166,0
13,0.269386,97.4154,0
14,0.199467,98.0516,0
15,0.203310,97.9323,0
16,0.232542,97.9273,0
17,0.222098,97.9572,0
18,0.181772,98.2554,0
19,0.231115,97.7633,0
20,0.170885,98.3448,0
21,0.179526,98.2355,0
22,0.157013,98.5238,0
23,0.192581,98.1808,0
24,0.145767,98.5337,0
25,0.171706,98.3995,0
26,0.151017,98.4443,0
27,0.138874,98.7077,0
28,0.155001,98.4940,0
29,0.136387,98.6630,0
30,0.182355,98.0864,0
31,0.157867,98.6381,0
32,0.116815,98.7773,0
33,0.090570,99.0506,0
34,0.134539,98.8518,0
35,0.117070,98.8270,0
36,0.072995,99.1451,0
37,0.092286,99.0407,0
38,0.082718,99.1849,0
39,0.059977,99.2346,0
40,0.086622,98.9363,0
41,0.112061,98.8518,0
42,0.082760,99.0109,0
43,0.069105,99.3737,0
44,0.117972,99.0109,0
45,0.078500,99.2097,0
46,0.069199,99.2594,0
47,0.070608,99.2196,0
48,0.054430,99.4582,0
49,0.051020,99.3787,0
50,0.094312,98.9115,0
