epoch,section,n,neg_cos,maha_embed
1,ToyCar/id_01,614,0.7113,0.7289
1,ToyCar/id_02,615,0.6830,0.8763
1,ToyCar/id_03,615,0.6999,0.8256
1,ToyCar/id_04,615,0.9755,0.9110
1,ToyConveyor/id_01,1200,0.6818,0.6626
1,ToyConveyor/id_02,1155,0.5452,0.6646
1,ToyConveyor/id_03,1154,0.5901,0.6004
2,ToyCar/id_01,614,0.8172,0.7789
2,ToyCar/id_02,615,0.8332,0.8652
2,ToyCar/id_03,615,0.8505,0.8046
2,ToyCar/id_04,615,0.9567,0.9406
2,ToyConveyor/id_01,1200,0.8131,0.7161
2,ToyConveyor/id_02,1155,0.5349,0.5306
2,ToyConveyor/id_03,1154,0.6797,0.6253
3,ToyCar/id_01,614,0.7350,0.7121
3,ToyCar/id_02,615,0.7856,0.8592
3,ToyCar/id_03,615,0.8718,0.8439
3,ToyCar/id_04,615,0.9953,0.9034
3,ToyConveyor/id_01,1200,0.6609,0.6967
3,ToyConveyor/id_02,1155,0.4527,0.6087
3,ToyConveyor/id_03,1154,0.5468,0.6499
4,ToyCar/id_01,614,0.7866,0.7723
4,ToyCar/id_02,615,0.7856,0.8835
4,ToyCar/id_03,615,0.8878,0.8314
4,ToyCar/id_04,615,0.9703,0.9077
4,ToyConveyor/id_01,1200,0.4787,0.6718
4,ToyConveyor/id_02,1155,0.5287,0.5770
4,ToyConveyor/id_03,1154,0.5533,0.6479
5,ToyCar/id_01,614,0.6793,0.6643
5,ToyCar/id_02,615,0.5534,0.8559
5,ToyCar/id_03,615,0.6822,0.8963
5,ToyCar/id_04,615,0.9934,0.9089
5,ToyConveyor/id_01,1200,0.6680,0.7260
5,ToyConveyor/id_02,1155,0.5807,0.6099
5,ToyConveyor/id_03,1154,0.4756,0.6133
6,ToyCar/id_01,614,0.5931,0.7707
6,ToyCar/id_02,615,0.8046,0.8671
6,ToyCar/id_03,615,0.8019,0.9256
6,ToyCar/id_04,615,0.8932,0.9420
6,ToyConveyor/id_01,1200,0.6611,0.7313
6,ToyConveyor/id_02,1155,0.4505,0.5859
6,ToyConveyor/id_03,1154,0.6067,0.6414
7,ToyCar/id_01,614,0.6567,0.7992
7,ToyCar/id_02,615,0.8202,0.8928
7,ToyCar/id_03,615,0.9252,0.8564
7,ToyCar/id_04,615,0.9937,0.8926
7,ToyConveyor/id_01,1200,0.7002,0.7232
7,ToyConveyor/id_02,1155,0.5926,0.6728
7,ToyConveyor/id_03,1154,0.7114,0.6612
8,ToyCar/id_01,614,0.7452,0.7048
