readout,ToyCar,ToyConveyor,fan,pump,slider,valve,mean_AUROC,mean_AP
maha_concat_raw,75.68,63.79,58.44,72.06,90.78,70.02,71.80,72.58
maha_embed,74.28,58.87,56.27,69.57,87.46,58.51,67.49,69.81
logit_nll,83.21,60.30,75.02,83.32,77.79,92.16,78.63,80.50
neg_cos,82.33,62.01,76.47,86.05,82.44,91.27,80.10,82.11
