class,ast_30ep,resnet34_30ep,delta_matched,resnet34_70ep
fan,78.74999999999999,82.98,-4.230000000000018,83.56
pump,93.00999999999999,91.67999999999999,1.3299999999999983,92.78999999999999
slider,97.67333333333333,93.44,4.233333333333334,94.84
valve,93.96,96.74000000000001,-2.7800000000000153,96.94
ToyCar,95.57333333333334,93.76,1.8133333333333326,94.77
ToyConveyor,70.73,71.0,-0.269999999999996,69.04
