step,cumulative,delta
Rung B (PNG 256x256),85.88666666666666,
"+ recipe (mixup, lr, batch)",86.88999999999999,1.0033333333333303
+ INPUT (PNG -> fbank),88.27000000000001,1.3800000000000239
+ schedule (30 -> 70 ep),88.64999999999999,0.37999999999998124
