readout,best_epoch,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
neg_cos,10,72.38,88.51,80.44,95.83,94.01,59.60,81.80
logit_nll,10,69.67,79.63,74.63,92.53,91.36,55.52,77.22
maha_embed,30,84.39,91.09,93.29,91.49,88.23,66.27,85.79
