epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7134,0.7398,0.7703,0.7192,0.8222,0.5311,0.7160
22,maha_embed,0.7938,0.8399,0.9628,0.8771,0.8488,0.7218,0.8407
23,neg_cos,0.7048,0.7495,0.8234,0.7447,0.7754,0.5091,0.7178
23,logit_nll,0.7242,0.7305,0.7664,0.6472,0.7856,0.5304,0.6974
23,maha_embed,0.7887,0.8716,0.9366,0.9157,0.8059,0.6899,0.8347
24,neg_cos,0.7532,0.8302,0.9129,0.6455,0.8584,0.5995,0.7666
24,logit_nll,0.6956,0.7742,0.8536,0.7046,0.7927,0.5377,0.7264
24,maha_embed,0.8398,0.8632,0.9426,0.8590,0.8256,0.6749,0.8342
25,neg_cos,0.7637,0.8127,0.7572,0.8248,0.9382,0.5465,0.7739
25,logit_nll,0.6899,0.7586,0.7047,0.6994,0.8500,0.5221,0.7041
25,maha_embed,0.8253,0.8929,0.9267,0.9159,0.8120,0.6978,0.8451
26,neg_cos,0.7306,0.8441,0.8162,0.8735,0.8319,0.5807,0.7795
26,logit_nll,0.6754,0.7626,0.7245,0.7265,0.8188,0.5149,0.7038
26,maha_embed,0.8040,0.8751,0.9314,0.8733,0.8034,0.6716,0.8265
27,neg_cos,0.7960,0.7488,0.8509,0.8220,0.8592,0.6058,0.7804
27,logit_nll,0.7253,0.7677,0.8499,0.6795,0.8153,0.5147,0.7254
27,maha_embed,0.8048,0.8375,0.9385,0.9372,0.7657,0.6643,0.8247
28,neg_cos,0.8343,0.8124,0.8899,0.7995,0.8964,0.5470,0.7966
28,logit_nll,0.7313,0.7833,0.7835,0.7403,0.8230,0.5261,0.7313
28,maha_embed,0.7826,0.8538,0.9396,0.9413,0.8056,0.6899,0.8355
29,neg_cos,0.7785,0.7875,0.8662,0.7556,0.8414,0.4946,0.7540
29,logit_nll,0.7044,0.7811,0.8071,0.7140,0.8172,0.5185,0.7237
29,maha_embed,0.7963,0.8844,0.9358,0.9421,0.8584,0.6813,0.8497
30,neg_cos,0.7494,0.8096,0.9013,0.8375,0.7555,0.5075,0.7601
30,logit_nll,0.7142,0.7718,0.7809,0.7331,0.8043,0.5107,0.7192
30,maha_embed,0.8439,0.9109,0.9329,0.9149,0.8823,0.6627,0.8579
31,neg_cos,0.7810,0.7925,0.8417,0.8067,0.8778,0.5111,0.7684
31,logit_nll,0.7086,0.7607,0.7684,0.7129,0.8154,0.5178,0.7140
31,maha_embed,0.7576,0.9016,0.9414,0.9385,0.8072,0.6760,0.8371
32,neg_cos,0.7330,0.8229,0.7842,0.8494,0.8814,0.6205,0.7819
32,logit_nll,0.7264,0.7621,0.6939,0.7296,0.8224,0.5275,0.7103
32,maha_embed,0.7959,0.8696,0.9174,0.9352,0.7613,0.6780,0.8263
33,neg_cos,0.7098,0.7682,0.8143,0.8391,0.8101,0.6197,0.7602
33,logit_nll,0.6846,0.7630,0.7676,0.7672,0.7950,0.5412,0.7198
33,maha_embed,0.8032,0.8963,0.9317,0.9130,0.8849,0.6617,0.8485
34,neg_cos,0.7697,0.9235,0.8256,0.8788,0.8448,0.4946,0.7895
34,logit_nll,0.7221,0.7872,0.7753,0.7474,0.8340,0.5313,0.7329
34,maha_embed,0.8235,0.9091,0.9453,0.8899,0.7815,0.7016,0.8418
35,neg_cos,0.7644,0.8500,0.8700,0.7852,0.8199,0.5869,0.7794
35,logit_nll,0.6955,0.8047,0.7426,0.7197,0.8020,0.5433,0.7180
35,maha_embed,0.7906,0.9198,0.9343,0.8856,0.7913,0.6962,0.8363
36,neg_cos,0.7697,0.8842,0.8929,0.8029,0.8451,0.5360,0.7885
36,logit_nll,0.6915,0.7690,0.7700,0.7192,0.8036,0.5234,0.7128
36,maha_embed,0.7948,0.8967,0.9333,0.9002,0.8414,0.6807,0.8412
37,neg_cos,0.8063,0.7685,0.9066,0.8169,0.7911,0.5819,0.7786
37,logit_nll,0.7521,0.7306,0.7847,0.7056,0.7847,0.5311,0.7148
37,maha_embed,0.8167,0.8886,0.9487,0.8555,0.8210,0.6934,0.8373
38,neg_cos,0.7778,0.8844,0.8253,0.6933,0.8214,0.5436,0.7576
38,logit_nll,0.7769,0.8099,0.8011,0.7254,0.8253,0.5150,0.7423
38,maha_embed,0.8361,0.8783,0.9383,0.8758,0.8403,0.6892,0.8430
39,neg_cos,0.7531,0.7878,0.7050,0.7416,0.8929,0.6360,0.7527
39,logit_nll,0.6988,0.7665,0.7501,0.7108,0.8340,0.5398,0.7167
39,maha_embed,0.8285,0.8861,0.9149,0.8446,0.7232,0.6470,0.8074
40,neg_cos,0.7620,0.8091,0.7436,0.8150,0.7834,0.5642,0.7462
40,logit_nll,0.6855,0.7415,0.7419,0.6921,0.7814,0.5406,0.6972
40,maha_embed,0.7974,0.9085,0.9364,0.9129,0.8371,0.6824,0.8458
41,neg_cos,0.6620,0.7815,0.8511,0.7985,0.8331,0.5228,0.7415
41,logit_nll,0.6851,0.7308,0.7532,0.6837,0.8133,0.5275,0.6989
41,maha_embed,0.8021,0.8772,0.9234,0.9179,0.8038,0.6929,0.8362
42,neg_cos,0.7450,0.7796,0.8593,0.8797,0.8248,0.5960,0.7807
42,logit_nll,0.6785,0.7785,0.8352,0.7328,0.8051,0.5386,0.7281
42,maha_embed,0.7996,0.8635,0.9410,0.8575,0.8077,0.7018,0.8285
43,neg_cos,0.7808,0.8247,0.8772,0.8083,0.7562,0.6079,0.7759
43,logit_nll,0.7715,0.7693,0.7697,0.6967,0.8137,0.5372,0.7264
43,maha_embed,0.7324,0.8438,0.9334,0.8442,0.8163,0.6678,0.8063
44,neg_cos,0.7592,0.7705,0.8422,0.6454,0.8494,0.6796,0.7577
44,logit_nll,0.7465,0.7691,0.7977,0.6889,0.8481,0.5452,0.7326
44,maha_embed,0.8148,0.8839,0.9437,0.8645,0.8119,0.7163,0.8392
45,neg_cos,0.7703,0.7857,0.8408,0.7900,0.8069,0.5451,0.7565
45,logit_nll,0.7420,0.7499,0.6942,0.7112,0.8322,0.5344,0.7106
45,maha_embed,0.8036,0.8802,0.9711,0.8570,0.7939,0.6871,0.8322
46,neg_cos,0.8105,0.8849,0.7256,0.7735,0.7731,0.4945,0.7437
46,logit_nll,0.7138,0.7638,0.7443,0.7276,0.8092,0.5268,0.7142
46,maha_embed,0.7877,0.8928,0.9574,0.8492,0.8234,0.7004,0.8351
47,neg_cos,0.6884,0.8461,0.8493,0.8109,0.8380,0.5571,0.7650
47,logit_nll,0.7383,0.7599,0.7846,0.7549,0.8346,0.5543,0.7378
47,maha_embed,0.7449,0.8602,0.9235,0.8338,0.8691,0.6916,0.8205
48,neg_cos,0.7434,0.7691,0.8412,0.8528,0.7418,0.6205,0.7615
48,logit_nll,0.7171,0.7182,0.7919,0.7369,0.7927,0.5506,0.7179
48,maha_embed,0.7942,0.8529,0.9065,0.8470,0.8337,0.6630,0.8162
49,neg_cos,0.7699,0.8016,0.8843,0.7069,0.8740,0.5884,0.7709
49,logit_nll,0.6580,0.7750,0.7606,0.6850,0.8291,0.5257,0.7056
49,maha_embed,0.8544,0.9058,0.9207,0.8845,0.8644,0.6750,0.8508
50,neg_cos,0.7819,0.7950,0.8689,0.8337,0.8062,0.5760,0.7770
50,logit_nll,0.6948,0.7197,0.7164,0.6910,0.7733,0.5261,0.6869
50,maha_embed,0.8549,0.8727,0.9372,0.8385,0.8840,0.6756,0.8438
