epoch,section,n,neg_cos,maha_embed
16,ToyConveyor/id_02,1155,0.5056,0.5552
16,ToyConveyor/id_03,1154,0.5803,0.6471
17,ToyCar/id_01,614,0.8092,0.8470
17,ToyCar/id_02,615,0.8856,0.9275
17,ToyCar/id_03,615,0.8814,0.8064
17,ToyCar/id_04,615,0.9989,0.9211
17,ToyConveyor/id_01,1200,0.7446,0.7044
17,ToyConveyor/id_02,1155,0.5704,0.5699
17,ToyConveyor/id_03,1154,0.6206,0.6708
18,ToyCar/id_01,614,0.6863,0.8382
18,ToyCar/id_02,615,0.8938,0.9008
18,ToyCar/id_03,615,0.9468,0.7695
18,ToyCar/id_04,615,0.9980,0.9120
18,ToyConveyor/id_01,1200,0.7358,0.7376
18,ToyConveyor/id_02,1155,0.5410,0.5682
18,ToyConveyor/id_03,1154,0.5602,0.6850
19,ToyCar/id_01,614,0.7619,0.7961
19,ToyCar/id_02,615,0.8230,0.8877
19,ToyCar/id_03,615,0.9218,0.7463
19,ToyCar/id_04,615,0.9993,0.8948
19,ToyConveyor/id_01,1200,0.7102,0.7156
19,ToyConveyor/id_02,1155,0.4746,0.5837
19,ToyConveyor/id_03,1154,0.6456,0.6505
20,ToyCar/id_01,614,0.7778,0.8059
20,ToyCar/id_02,615,0.8772,0.8863
20,ToyCar/id_03,615,0.9872,0.7525
20,ToyCar/id_04,615,0.9998,0.8772
20,ToyConveyor/id_01,1200,0.6338,0.6966
20,ToyConveyor/id_02,1155,0.5394,0.5676
20,ToyConveyor/id_03,1154,0.5312,0.6532
21,ToyCar/id_01,614,0.8169,0.8630
21,ToyCar/id_02,615,0.8469,0.9011
21,ToyCar/id_03,615,0.7739,0.7492
21,ToyCar/id_04,615,0.9993,0.9073
21,ToyConveyor/id_01,1200,0.7058,0.7438
21,ToyConveyor/id_02,1155,0.5637,0.5790
21,ToyConveyor/id_03,1154,0.6163,0.6629
22,ToyCar/id_01,614,0.7550,0.8335
22,ToyCar/id_02,615,0.8646,0.9213
22,ToyCar/id_03,615,0.9459,0.8377
22,ToyCar/id_04,615,0.9992,0.9031
22,ToyConveyor/id_01,1200,0.7440,0.7715
22,ToyConveyor/id_02,1155,0.5215,0.5647
22,ToyConveyor/id_03,1154,0.5246,0.7001
23,ToyCar/id_01,614,0.7849,0.8413
23,ToyCar/id_02,615,0.8608,0.9212
23,ToyCar/id_03,615,0.9431,0.8044
23,ToyCar/id_04,615,0.9996,0.8872
23,ToyConveyor/id_01,1200,0.5629,0.7294
23,ToyConveyor/id_02,1155,0.4627,0.5542
23,ToyConveyor/id_03,1154,0.5620,0.6773
24,ToyCar/id_01,614,0.7482,0.8113
24,ToyCar/id_02,615,0.8765,0.8960
24,ToyCar/id_03,615,0.8732,0.8125
24,ToyCar/id_04,615,0.9973,0.8816
24,ToyConveyor/id_01,1200,0.7441,0.7601
24,ToyConveyor/id_02,1155,0.5389,0.5474
24,ToyConveyor/id_03,1154,0.6149,0.6997
25,ToyCar/id_01,614,0.8026,0.8281
25,ToyCar/id_02,615,0.7537,0.8731
25,ToyCar/id_03,615,0.9467,0.7432
25,ToyCar/id_04,615,0.9988,0.8728
25,ToyConveyor/id_01,1200,0.6424,0.7388
25,ToyConveyor/id_02,1155,0.5814,0.5695
25,ToyConveyor/id_03,1154,0.6270,0.6588
26,ToyCar/id_01,614,0.8140,0.8140
26,ToyCar/id_02,615,0.8722,0.9045
26,ToyCar/id_03,615,0.9140,0.7545
26,ToyCar/id_04,615,0.9993,0.8700
26,ToyConveyor/id_01,1200,0.5116,0.7315
26,ToyConveyor/id_02,1155,0.5403,0.5442
26,ToyConveyor/id_03,1154,0.5805,0.6594
27,ToyCar/id_01,614,0.7223,0.8363
27,ToyCar/id_02,615,0.7947,0.9071
27,ToyCar/id_03,615,0.8695,0.6991
27,ToyCar/id_04,615,0.9950,0.8876
27,ToyConveyor/id_01,1200,0.7194,0.7084
27,ToyConveyor/id_02,1155,0.5532,0.5445
27,ToyConveyor/id_03,1154,0.6631,0.6641
28,ToyCar/id_01,614,0.7469,0.8082
28,ToyCar/id_02,615,0.8716,0.8734
28,ToyCar/id_03,615,0.9916,0.7408
28,ToyCar/id_04,615,0.9996,0.8867
28,ToyConveyor/id_01,1200,0.6372,0.7248
28,ToyConveyor/id_02,1155,0.5497,0.5503
28,ToyConveyor/id_03,1154,0.5483,0.6327
29,ToyCar/id_01,614,0.8036,0.8246
29,ToyCar/id_02,615,0.8207,0.8808
29,ToyCar/id_03,615,0.9456,0.8131
29,ToyCar/id_04,615,0.9994,0.8681
29,ToyConveyor/id_01,1200,0.8099,0.7484
29,ToyConveyor/id_02,1155,0.5828,0.5517
29,ToyConveyor/id_03,1154,0.6323,0.6490
30,ToyCar/id_01,614,0.8023,0.8154
30,ToyCar/id_02,615,0.8841,0.8752
30,ToyCar/id_03,615,0.9476,0.7790
30,ToyCar/id_04,615,0.9995,0.8410
30,ToyConveyor/id_01,1200,0.7701,0.6880
30,ToyConveyor/id_02,1155,0.6036,0.5573
30,ToyConveyor/id_03,1154,0.6467,0.6602
31,ToyCar/id_01,614,0.7691,0.7974
31,ToyCar/id_02,615,0.8009,0.8663
31,ToyCar/id_03,615,0.9629,0.8290
31,ToyCar/id_04,615,0.9998,0.8831
31,ToyConveyor/id_01,1200,0.6698,0.7167
31,ToyConveyor/id_02,1155,0.5426,0.5450
31,ToyConveyor/id_03,1154,0.6026,0.6040
32,ToyCar/id_01,614,0.8127,0.7837
32,ToyCar/id_02,615,0.8215,0.8662
32,ToyCar/id_03,615,0.9288,0.7809
32,ToyCar/id_04,615,0.9999,0.8573
32,ToyConveyor/id_01,1200,0.6711,0.7104
32,ToyConveyor/id_02,1155,0.5030,0.5424
32,ToyConveyor/id_03,1154,0.5974,0.6216
33,ToyCar/id_01,614,0.7940,0.8100
33,ToyCar/id_02,615,0.7519,0.8704
33,ToyCar/id_03,615,0.8610,0.8143
33,ToyCar/id_04,615,0.9890,0.8850
33,ToyConveyor/id_01,1200,0.7641,0.7254
33,ToyConveyor/id_02,1155,0.6002,0.5594
