epoch,readout,fan,pump,slider,valve,ToyCar,ToyConveyor,mean
22,logit_nll,0.7239,0.7858,0.7691,0.7860,0.8536,0.5404,0.7432
22,maha_embed,0.7238,0.8316,0.9261,0.8759,0.8744,0.6823,0.8190
23,neg_cos,0.8117,0.8944,0.8808,0.8711,0.8923,0.5316,0.8136
23,logit_nll,0.7155,0.7672,0.7590,0.7182,0.8201,0.5185,0.7164
23,maha_embed,0.7470,0.8365,0.9166,0.8807,0.8643,0.6572,0.8170
24,neg_cos,0.8070,0.8315,0.8696,0.9100,0.8321,0.6024,0.8088
24,logit_nll,0.7043,0.7619,0.7551,0.7980,0.8133,0.5336,0.7277
24,maha_embed,0.6919,0.8029,0.8799,0.8275,0.8496,0.6752,0.7878
25,neg_cos,0.8162,0.9158,0.8816,0.9013,0.8900,0.6061,0.8352
25,logit_nll,0.7533,0.7986,0.7591,0.7865,0.8101,0.5340,0.7402
25,maha_embed,0.7399,0.7897,0.9065,0.8310,0.8307,0.6589,0.7928
26,neg_cos,0.7806,0.8515,0.8435,0.8941,0.8976,0.5339,0.8002
26,logit_nll,0.7248,0.7770,0.7705,0.7714,0.8248,0.5130,0.7303
26,maha_embed,0.7483,0.8057,0.9130,0.8448,0.8375,0.6494,0.7998
27,neg_cos,0.7725,0.8642,0.8605,0.8821,0.8403,0.6520,0.8119
27,logit_nll,0.7241,0.7494,0.7548,0.7787,0.8310,0.5318,0.7283
27,maha_embed,0.7063,0.8133,0.8991,0.7875,0.8359,0.6420,0.7807
28,neg_cos,0.7759,0.8076,0.8191,0.9391,0.8862,0.5796,0.8013
28,logit_nll,0.7482,0.7971,0.7721,0.7693,0.8380,0.5232,0.7413
28,maha_embed,0.6882,0.8003,0.9150,0.8244,0.8270,0.6394,0.7824
29,neg_cos,0.7636,0.9098,0.9100,0.9638,0.8710,0.6616,0.8466
29,logit_nll,0.7125,0.7817,0.7532,0.8250,0.8139,0.5264,0.7354
29,maha_embed,0.7072,0.8407,0.8939,0.8345,0.8417,0.6549,0.7955
30,neg_cos,0.8165,0.8782,0.8599,0.9609,0.9050,0.6619,0.8471
30,logit_nll,0.7163,0.7918,0.7548,0.8163,0.8232,0.5268,0.7382
30,maha_embed,0.7195,0.8424,0.9025,0.8418,0.8270,0.6369,0.7950
31,neg_cos,0.7420,0.8507,0.8874,0.8815,0.8786,0.5977,0.8063
31,logit_nll,0.7195,0.7570,0.7646,0.7397,0.8214,0.5231,0.7209
31,maha_embed,0.7169,0.8226,0.9138,0.8210,0.8400,0.6272,0.7903
32,neg_cos,0.8047,0.9160,0.8694,0.9533,0.9039,0.5644,0.8353
32,logit_nll,0.7048,0.7691,0.7638,0.6910,0.8134,0.5217,0.7106
32,maha_embed,0.7274,0.8178,0.8991,0.8829,0.8202,0.6301,0.7963
33,neg_cos,0.8413,0.8581,0.8671,0.9106,0.8368,0.6266,0.8234
33,logit_nll,0.7023,0.8080,0.7876,0.7129,0.8036,0.5249,0.7232
33,maha_embed,0.7112,0.8312,0.9315,0.8701,0.8444,0.6446,0.8055
34,neg_cos,0.7823,0.9152,0.8743,0.9212,0.9112,0.5744,0.8298
34,logit_nll,0.7099,0.7748,0.7625,0.7004,0.8286,0.5252,0.7169
34,maha_embed,0.7614,0.8355,0.9146,0.8440,0.8344,0.6510,0.8068
