epoch,train_loss,train_acc
1,3.768812,66.2508
2,0.415007,94.8655
3,0.223858,97.1718
4,0.143196,98.0417
5,0.128958,98.1411
6,0.088805,98.7425
7,0.085755,98.6282
8,0.070268,99.0009
9,0.072992,98.9413
10,0.060434,99.0854
11,0.083035,98.8817
12,0.045219,99.2544
13,0.080545,98.9512
14,0.071171,99.1252
15,0.066330,99.1501
16,0.018397,99.6869
17,0.027658,99.5626
18,0.069075,99.1004
19,0.050159,99.3141
20,0.045367,99.2544
21,0.059778,99.3240
22,0.054187,99.3041
23,0.011427,99.7763
24,0.062078,99.2992
25,0.035938,99.4682
26,0.014485,99.7465
27,0.028242,99.6670
28,0.053411,99.3141
29,0.045344,99.5030
30,0.033814,99.4582
31,0.023677,99.6322
32,0.030277,99.5825
33,0.043004,99.5228
34,0.039578,99.6073
35,0.018350,99.7266
36,0.036123,99.6024
37,0.027456,99.6272
38,0.018297,99.7117
39,0.017619,99.7067
40,0.021285,99.7217
41,0.055278,99.4234
42,0.046807,99.5079
43,0.070553,99.2196
44,0.011914,99.7863
45,0.004918,99.8907
46,0.019851,99.8012
47,0.020745,99.7366
48,0.029049,99.6073
49,0.018355,99.7366
50,0.033900,99.6024
