0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
55.94636	80.27790	88.30234	55.94636	80.27790	88.30234	73.80592	76.11811	72.97581	73.80592	76.11811	72.97581	83.56868	91.93064	85.80091	83.56868	91.93064	85.80091	72.93580	75.33928	75.12521	72.93580	75.33928	75.12521	62.58461	53.68521	61.40863	62.58461	53.68521	61.40863	56.17857	67.50332	38.44213	69.29888	48.31261	71.98759	56.17857	67.50332	38.44213	69.29888	48.31261	71.98759	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
60.36051	83.13607	88.11401	60.36051	83.13607	88.11401	74.65954	75.99855	72.98106	74.65954	75.99855	72.98106	83.74340	91.84043	85.09784	83.74340	91.84043	85.09784	73.92745	73.72605	75.60074	73.92745	73.72605	75.60074	65.85606	56.81645	63.38358	65.85606	56.81645	63.38358	56.82129	69.22804	38.91153	70.07152	48.60022	72.29624	56.82129	69.22804	38.91153	70.07152	48.60022	72.29624	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.49102	80.61537	88.16497	57.49102	80.61537	88.16497	75.72341	77.90447	73.71542	75.72341	77.90447	73.71542	85.88244	93.15990	86.53445	85.88244	93.15990	86.53445	72.79645	73.21956	75.04244	72.79645	73.21956	75.04244	62.72103	54.32326	60.88050	62.72103	54.32326	60.88050	56.96938	68.59729	38.87537	69.68299	48.35795	72.11595	56.96938	68.59729	38.87537	69.68299	48.35795	72.11595	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.36551	80.56780	88.31636	57.36551	80.56780	88.31636	76.66201	78.73729	74.58292	76.66201	78.73729	74.58292	86.35014	93.51637	86.84611	86.35014	93.51637	86.84611	72.23878	72.82436	74.69085	72.23878	72.82436	74.69085	62.47899	54.12457	60.73333	62.47899	54.12457	60.73333	57.94229	68.83962	39.89578	69.94436	48.59438	72.29399	57.94229	68.83962	39.89578	69.94436	48.59438	72.29399	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.57068	80.71949	88.25838	57.57068	80.71949	88.25838	76.71738	78.85310	73.90476	76.71738	78.85310	73.90476	85.67360	93.29163	86.18952	85.67360	93.29163	86.18952	72.09812	72.27714	75.19582	72.09812	72.27714	75.19582	63.77904	54.99018	61.35266	63.77904	54.99018	61.35266	58.99684	69.13928	41.30241	70.23899	48.77177	72.27882	58.99684	69.13928	41.30241	70.23899	48.77177	72.27882	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.09305	80.47849	88.34835	57.09305	80.47849	88.34835	76.29359	78.38000	74.26901	76.29359	78.38000	74.26901	85.10843	93.02221	85.84521	85.10843	93.02221	85.84521	70.85856	70.68192	75.24917	70.85856	70.68192	75.24917	64.57696	55.68627	61.62994	64.57696	55.68627	61.62994	58.45480	68.73090	40.69682	69.82428	48.53685	72.31309	58.45480	68.73090	40.69682	69.82428	48.53685	72.31309	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.55644	80.71795	88.31481	57.55644	80.71795	88.31481	76.45943	78.04869	74.21875	76.45943	78.04869	74.21875	85.89185	93.42636	86.55505	85.89185	93.42636	86.55505	71.91336	71.24692	75.75758	71.91336	71.24692	75.75758	65.25327	56.15478	62.35455	65.25327	56.15478	62.35455	59.04192	69.35271	40.95279	70.09125	48.64865	72.64156	59.04192	69.35271	40.95279	70.09125	48.64865	72.64156	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.83890	80.87364	88.24593	57.83890	80.87364	88.24593	75.48739	77.45934	73.86478	75.48739	77.45934	73.86478	85.99860	93.38728	86.57453	85.99860	93.38728	86.57453	71.88596	71.66411	76.12574	71.88596	71.66411	76.12574	65.80372	56.49224	63.03237	65.80372	56.49224	63.03237	59.55807	69.42877	41.35519	70.20530	49.04727	72.81510	59.55807	69.42877	41.35519	70.20530	49.04727	72.81510	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
57.75669	80.93185	88.19988	57.75669	80.93185	88.19988	75.66749	77.82358	73.75887	75.66749	77.82358	73.75887	86.21910	93.39751	87.06240	86.21910	93.39751	87.06240	71.40527	70.87224	76.07777	71.40527	70.87224	76.07777	66.75830	57.08580	63.10680	66.75830	57.08580	63.10680	59.82160	69.60474	41.72707	70.30634	48.98930	72.86584	59.82160	69.60474	41.72707	70.30634	48.98930	72.86584	
0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	0.00000	
58.04551	81.05739	88.24418	58.04551	81.05739	88.24418	75.86239	77.73125	74.26160	75.86239	77.73125	74.26160	86.46236	93.73350	86.81152	86.46236	93.73350	86.81152	70.93946	70.43514	75.62189	70.93946	70.43514	75.62189	67.40213	58.15962	63.14275	67.40213	58.15962	63.14275	60.01112	69.78716	42.10736	70.53738	49.00857	72.84842	60.01112	69.78716	42.10736	70.53738	49.00857	72.84842	
